cell_id,frame_id,num_groups,peaks,counts,n_points
225,0,1,10.030957,1,1
225,1,1,10.030957,1,1
225,2,1,10.030957,1,1
225,3,1,10.030957,1,1
225,5,1,10.030957,1,1
225,6,1,10.030957,1,1
226,0,1,10.030625,7,7
226,1,1,10.030570,6,6
226,2,1,10.030625,5,5
226,3,1,10.030708,5,5
226,4,1,10.030625,7,7
226,5,1,10.030708,3,3
226,6,1,10.030598,5,5
226,7,1,10.030570,7,7
226,8,1,10.030543,5,5
226,9,1,10.030681,6,6
227,0,1,10.029532,6,6
227,1,1,10.029559,2,2
227,2,1,10.029532,4,4
227,3,1,10.029613,5,5
227,4,1,10.029613,8,8
227,5,1,10.029613,5,5
227,6,1,10.029452,6,6
227,7,1,10.029666,5,5
227,8,1,10.029559,5,5
227,9,1,10.029639,6,6
228,0,1,10.028603,6,6
228,1,1,10.028473,1,1
228,2,1,10.028655,4,4
228,3,1,10.028577,5,5
228,4,1,10.028525,7,7
228,5,1,10.028603,6,6
228,6,1,10.028603,5,5
228,7,1,10.028629,4,4
228,8,1,10.028525,5,5
228,9,1,10.028577,8,8
229,0,1,10.027624,7,7
229,1,1,10.027649,7,7
229,2,1,10.027624,9,9
229,3,1,10.027624,7,7
229,4,1,10.027674,5,5
229,5,1,10.027523,5,5
229,6,1,10.027624,6,6
229,7,1,10.027624,6,6
229,8,1,10.027624,6,6
229,9,1,10.027624,7,7
230,0,1,10.026651,6,6
230,1,1,10.026602,3,3
230,2,1,10.026602,6,6
230,3,1,10.026773,3,3
230,4,1,10.026456,3,3
230,5,1,10.026675,5,5
230,6,1,10.026358,4,4
230,7,1,10.026651,7,7
230,8,1,10.026602,5,5
230,9,1,10.026675,4,4
231,0,1,10.025805,2,2
231,1,1,10.025828,6,6
231,2,1,10.025687,5,5
231,3,1,10.025569,3,3
231,4,1,10.025757,5,5
231,5,1,10.025710,5,5
231,6,1,10.025687,7,7
231,7,1,10.025616,5,5
231,8,1,10.025757,7,7
231,9,1,10.025545,5,5
232,0,1,10.024848,5,5
232,1,1,10.024848,4,4
