cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-5.5681,2.619,10.058,10,10,0.0,"{0: 23, 1: 14, 2: 11, 3: 14, 4: 16, 5: 12, 6: 13, 7: 10, 8: 14, 9: 16}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [14], 2: [11], 3: [14], 4: [16], 5: [12], 6: [13], 7: [10], 8: [14], 9: [16]}",10.058,"{0: [10.057859420776367], 1: [10.059245109558105], 2: [10.059012413024902], 3: [10.059289932250977], 4: [10.059245109558105], 5: [10.058968544006348], 6: [10.059289932250977], 7: [10.059245109558105], 8: [10.059245109558105], 9: [10.059245109558105]}",,143
1,-5.2643,2.619,10.053,10,10,0.0,"{0: 22, 1: 25, 2: 19, 3: 16, 4: 16, 5: 18, 6: 21, 7: 23, 8: 18, 9: 13}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [25], 2: [19], 3: [16], 4: [16], 5: [18], 6: [21], 7: [23], 8: [18], 9: [13]}",10.053,"{0: [10.051775932312012], 1: [10.054636001586914], 2: [10.05450439453125], 3: [10.054636001586914], 4: [10.054636001586914], 5: [10.054372787475586], 6: [10.054546356201172], 7: [10.054636001586914], 8: [10.05450439453125], 9: [10.054109573364258]}",,191
2,-4.8942,2.619,10.047,10,10,0.0,"{0: 19, 1: 21, 2: 17, 3: 19, 4: 23, 5: 21, 6: 19, 7: 21, 8: 21, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [21], 2: [17], 3: [19], 4: [23], 5: [21], 6: [19], 7: [21], 8: [21], 9: [18]}",10.047,"{0: [10.045957565307617], 1: [10.048526763916016], 2: [10.048772811889648], 3: [10.048686981201172], 4: [10.048849105834961], 5: [10.048772811889648], 6: [10.048810958862305], 7: [10.048810958862305], 8: [10.048887252807617], 9: [10.048810958862305]}",,199
3,-4.5299,2.619,10.042,10,10,0.0,"{0: 20, 1: 15, 2: 15, 3: 17, 4: 19, 5: 22, 6: 17, 7: 24, 8: 27, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [15], 2: [15], 3: [17], 4: [19], 5: [22], 6: [17], 7: [24], 8: [27], 9: [21]}",10.042,"{0: [10.04104232788086], 1: [10.043399810791016], 2: [10.043329238891602], 3: [10.043251037597656], 4: [10.043329238891602], 5: [10.043365478515625], 6: [10.043329238891602], 7: [10.043214797973633], 8: [10.043329238891602], 9: [10.043329238891602]}",,197
4,-4.1564,2.619,10.037,10,10,0.0,"{0: 23, 1: 15, 2: 18, 3: 22, 4: 21, 5: 20, 6: 17, 7: 23, 8: 25, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [15], 2: [18], 3: [22], 4: [21], 5: [20], 6: [17], 7: [23], 8: [25], 9: [21]}",10.037,"{0: [10.036081314086914], 1: [10.038202285766602], 2: [10.03823471069336], 3: [10.038339614868164], 4: [10.038097381591797], 5: [10.038339614868164], 6: [10.03823471069336], 7: [10.038307189941406], 8: [10.038202285766602], 9: [10.037920951843262]}",,205
5,-3.7916,2.619,10.032,10,10,0.0,"{0: 18, 1: 21, 2: 14, 3: 22, 4: 20, 5: 21, 6: 21, 7: 21, 8: 20, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [21], 2: [14], 3: [22], 4: [20], 5: [21], 6: [21], 7: [21], 8: [20], 9: [21]}",10.032,"{0: [10.031675338745117], 1: [10.033666610717773], 2: [10.033608436584473], 3: [10.033512115478516], 4: [10.03370475769043], 5: [10.033637046813965], 6: [10.033541679382324], 7: [10.03370475769043], 8: [10.033733367919922], 9: [10.03370475769043]}",,199
6,-3.4342,2.619,10.028,10,10,0.0,"{0: 20, 1: 19, 2: 24, 3: 19, 4: 24, 5: 17, 6: 18, 7: 22, 8: 23, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [19], 2: [24], 3: [19], 4: [24], 5: [17], 6: [18], 7: [22], 8: [23], 9: [17]}",10.028,"{0: [10.027687072753906], 1: [10.029519081115723], 2: [10.029519081115723], 3: [10.029519081115723], 4: [10.029519081115723], 5: [10.029484748840332], 6: [10.028828620910645], 7: [10.029519081115723], 8: [10.02943229675293], 9: [10.02937126159668]}",,203
7,-3.0628,2.619,10.025,10,10,0.0,"{0: 24, 1: 15, 2: 16, 3: 16, 4: 15, 5: 22, 6: 16, 7: 16, 8: 19, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [24], 1: [15], 2: [16], 3: [16], 4: [15], 5: [22], 6: [16], 7: [16], 8: [19], 9: [20]}",10.025,"{0: [10.024190902709961], 1: [10.0253324508667], 2: [10.025774955749512], 3: [10.02574348449707], 4: [10.025917053222656], 5: [10.025774955749512], 6: [10.025821685791016], 7: [10.025720596313477], 8: [10.025774955749512], 9: [10.02584457397461]}",,179
8,-2.7085,2.619,10.022,10,10,0.0,"{0: 17, 1: 19, 2: 18, 3: 26, 4: 22, 5: 26, 6: 23, 7: 18, 8: 21, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [19], 2: [18], 3: [26], 4: [22], 5: [26], 6: [23], 7: [18], 8: [21], 9: [20]}",10.022,"{0: [10.021149635314941], 1: [10.02251148223877], 2: [10.02241325378418], 3: [10.02251148223877], 4: [10.022531509399414], 5: [10.02251148223877], 6: [10.02251148223877], 7: [10.022462844848633], 8: [10.02251148223877], 9: [10.02251148223877]}",,210
9,-2.3383,2.619,10.019,10,10,0.0,"{0: 19, 1: 19, 2: 22, 3: 23, 4: 18, 5: 18, 6: 17, 7: 20, 8: 20, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [19], 2: [22], 3: [23], 4: [18], 5: [18], 6: [17], 7: [20], 8: [20], 9: [17]}",10.019,"{0: [10.018295288085938], 1: [10.019440650939941], 2: [10.019579887390137], 3: [10.01951789855957], 4: [10.019622802734375], 5: [10.019561767578125], 6: [10.019622802734375], 7: [10.019693374633789], 8: [10.019536018371582], 9: [10.01963996887207]}",,193
