azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-5.6525,0,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 7, 2: 4, 3: 8, 4: 7, 5: 4, 6: 6, 7: 4, 8: 6, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [7], 2: [4], 3: [8], 4: [7], 5: [4], 6: [6], 7: [4], 8: [6], 9: [8]}",10.059,10.059,"{0: [10.05904769897461], 1: [10.05982780456543], 2: [10.059640884399414], 3: [10.05982780456543], 4: [10.05982780456543], 5: [10.059550285339355], 6: [10.05982780456543], 7: [10.059871673583984], 8: [10.05982780456543], 9: [10.05982780456543]}",,60,0.0
-5.5536,1,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 5, 3: 4, 4: 6, 5: 5, 6: 5, 7: 3, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [5], 3: [4], 4: [6], 5: [5], 6: [5], 7: [3], 8: [5], 9: [5]}",10.058,10.058,"{0: [10.057600975036621], 1: [10.057960510253906], 2: [10.057916641235352], 3: [10.057960510253906], 4: [10.058095932006836], 5: [10.058051109313965], 6: [10.057780265808105], 7: [10.058185577392578], 8: [10.058185577392578], 9: [10.058051109313965]}",,47,0.0
-5.4517,2,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 9, 2: 5, 3: 6, 4: 6, 5: 4, 6: 4, 7: 9, 8: 7, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [9], 2: [5], 3: [6], 4: [6], 5: [4], 6: [4], 7: [9], 8: [7], 9: [4]}",10.056,10.056,"{0: [10.055604934692383], 1: [10.056265830993652], 2: [10.05639934539795], 3: [10.05639934539795], 4: [10.05639934539795], 5: [10.056529998779297], 6: [10.056529998779297], 7: [10.056265830993652], 8: [10.05630874633789], 9: [10.05630874633789]}",,60,0.0
-5.3531,3,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 6, 2: 6, 3: 5, 4: 5, 5: 5, 6: 3, 7: 9, 8: 5, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [6], 2: [6], 3: [5], 4: [5], 5: [5], 6: [3], 7: [9], 8: [5], 9: [3]}",10.054,10.054,"{0: [10.054039001464844], 1: [10.054688453674316], 2: [10.054557800292969], 3: [10.054557800292969], 4: [10.05459976196289], 5: [10.054774284362793], 6: [10.054903984069824], 7: [10.054688453674316], 8: [10.054731369018555], 9: [10.05447006225586]}",,54,0.0
-5.2528,4,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 4, 3: 3, 4: 5, 5: 6, 6: 7, 7: 4, 8: 4, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [4], 3: [3], 4: [5], 5: [6], 6: [7], 7: [4], 8: [4], 9: [2]}",10.053,10.053,"{0: [10.052499771118164], 1: [10.053138732910156], 2: [10.053094863891602], 3: [10.053180694580078], 4: [10.053010940551758], 5: [10.052924156188965], 6: [10.053010940551758], 7: [10.053010940551758], 8: [10.052796363830566], 9: [10.053010940551758]}",,47,0.0
-5.1668,5,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 4, 3: 3, 4: 2, 5: 3, 6: 7, 7: 1, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [4], 3: [3], 4: [2], 5: [3], 6: [7], 7: [1], 8: [4], 9: [4]}",10.051,10.051,"{0: [10.051156997680664], 1: [10.051658630371094], 2: [10.0516996383667], 3: [10.051824569702148], 4: [10.051031112670898], 5: [10.051530838012695], 6: [10.051658630371094], 7: [10.05078125], 8: [10.051530838012695], 9: [10.051572799682617]}",,38,0.0
-5.0866,6,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 3, 3: 3, 4: 4, 5: 6, 6: 5, 7: 7, 8: 4, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [3], 3: [3], 4: [4], 5: [6], 6: [5], 7: [7], 8: [4], 9: [6]}",10.05,10.05,"{0: [10.049835205078125], 1: [10.050328254699707], 2: [10.050491333007812], 3: [10.050162315368652], 4: [10.050121307373047], 5: [10.050369262695312], 6: [10.050328254699707], 7: [10.050328254699707], 8: [10.050121307373047], 9: [10.050328254699707]}",,48,0.0
-4.9921,7,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 4, 3: 4, 4: 7, 5: 6, 6: 4, 7: 5, 8: 8, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [4], 3: [4], 4: [7], 5: [6], 6: [4], 7: [5], 8: [8], 9: [2]}",10.049,10.049,"{0: [10.048534393310547], 1: [10.049020767211914], 2: [10.048534393310547], 3: [10.049060821533203], 4: [10.048980712890625], 5: [10.048858642578125], 6: [10.048534393310547], 7: [10.048938751220703], 8: [10.048980712890625], 9: [10.048372268676758]}",,50,0.0
-4.9031,8,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 5, 3: 7, 4: 6, 5: 5, 6: 6, 7: 5, 8: 4, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [5], 3: [7], 4: [6], 5: [5], 6: [6], 7: [5], 8: [4], 9: [7]}",10.047,10.047,"{0: [10.047019958496094], 1: [10.047296524047852], 2: [10.047416687011719], 3: [10.04753589630127], 4: [10.047574996948242], 5: [10.047416687011719], 6: [10.047574996948242], 7: [10.047574996948242], 8: [10.047574996948242], 9: [10.04753589630127]}",,53,0.0
-4.8113,9,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 6, 2: 3, 3: 4, 4: 5, 5: 4, 6: 3, 7: 5, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [6], 2: [3], 3: [4], 4: [5], 5: [4], 6: [3], 7: [5], 8: [5], 9: [5]}",10.046,10.046,"{0: [10.045845031738281], 1: [10.046040534973145], 2: [10.046274185180664], 3: [10.046195983886719], 4: [10.046079635620117], 5: [10.046157836914062], 6: [10.045574188232422], 7: [10.046195983886719], 8: [10.045923233032227], 9: [10.046079635620117]}",,44,0.0
-4.722,10,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 8, 3: 3, 4: 6, 5: 6, 6: 6, 7: 6, 8: 5, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [8], 3: [3], 4: [6], 5: [6], 6: [6], 7: [6], 8: [5], 9: [2]}",10.045,10.045,"{0: [10.0443115234375], 1: [10.044958114624023], 2: [10.044883728027344], 3: [10.04499626159668], 4: [10.044883728027344], 5: [10.044768333435059], 6: [10.044920921325684], 7: [10.044768333435059], 8: [10.044883728027344], 9: [10.044805526733398]}",,52,0.0
-4.6251,11,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 4, 2: 2, 3: 5, 4: 5, 5: 8, 6: 2, 7: 9, 8: 7, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [4], 2: [2], 3: [5], 4: [5], 5: [8], 6: [2], 7: [9], 8: [7], 9: [6]}",10.043,10.043,"{0: [10.042959213256836], 1: [10.04348087310791], 2: [10.0428466796875], 3: [10.043556213378906], 4: [10.043331146240234], 5: [10.043519973754883], 6: [10.043594360351562], 7: [10.043519973754883], 8: [10.043519973754883], 9: [10.04348087310791]}",,54,0.0
-4.535,12,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 3, 2: 4, 3: 3, 4: 4, 5: 4, 6: 3, 7: 3, 8: 6, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [3], 2: [4], 3: [3], 4: [4], 5: [4], 6: [3], 7: [3], 8: [6], 9: [6]}",10.042,10.042,"{0: [10.041779518127441], 1: [10.042218208312988], 2: [10.042218208312988], 3: [10.042291641235352], 4: [10.042108535766602], 5: [10.042108535766602], 6: [10.041814804077148], 7: [10.042108535766602], 8: [10.042108535766602], 9: [10.042219161987305]}",,41,0.0
-4.4464,13,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 4, 2: 3, 3: 5, 4: 5, 5: 5, 6: 7, 7: 4, 8: 8, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [4], 2: [3], 3: [5], 4: [5], 5: [5], 6: [7], 7: [4], 8: [8], 9: [4]}",10.041,10.041,"{0: [10.040480613708496], 1: [10.04101848602295], 2: [10.04101848602295], 3: [10.040838241577148], 4: [10.04101848602295], 5: [10.041053771972656], 6: [10.040802001953125], 7: [10.04109001159668], 8: [10.04101848602295], 9: [10.041053771972656]}",,51,0.0
-4.3587,14,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 4, 3: 6, 4: 3, 5: 6, 6: 5, 7: 5, 8: 5, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [4], 3: [6], 4: [3], 5: [6], 6: [5], 7: [5], 8: [5], 9: [4]}",10.039,10.039,"{0: [10.039417266845703], 1: [10.039804458618164], 2: [10.039663314819336], 3: [10.039770126342773], 4: [10.039451599121094], 5: [10.039663314819336], 6: [10.039663314819336], 7: [10.039875030517578], 8: [10.039663314819336], 9: [10.039910316467285]}",,47,0.0
-4.2808,15,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 5, 3: 4, 4: 4, 5: 5, 6: 1, 7: 5, 8: 7, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [5], 3: [4], 4: [4], 5: [5], 6: [1], 7: [5], 8: [7], 9: [5]}",10.038,10.038,"{0: [10.038373947143555], 1: [10.03868579864502], 2: [10.03868579864502], 3: [10.03872013092041], 4: [10.03868579864502], 5: [10.038651466369629], 6: [10.038476943969727], 7: [10.038651466369629], 8: [10.038651466369629], 9: [10.038651466369629]}",,44,0.0
-4.1774,16,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 3, 2: 4, 3: 7, 4: 7, 5: 6, 6: 9, 7: 8, 8: 6, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [3], 2: [4], 3: [7], 4: [7], 5: [6], 6: [9], 7: [8], 8: [6], 9: [8]}",10.037,10.037,"{0: [10.036880493164062], 1: [10.037114143371582], 2: [10.037385940551758], 3: [10.037385940551758], 4: [10.037487983703613], 5: [10.037419319152832], 6: [10.037385940551758], 7: [10.037521362304688], 8: [10.037317276000977], 9: [10.037487983703613]}",,62,0.0
-4.0805,17,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 4, 2: 5, 3: 4, 4: 5, 5: 3, 6: 3, 7: 5, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [4], 2: [5], 3: [4], 4: [5], 5: [3], 6: [3], 7: [5], 8: [5], 9: [5]}",10.036,10.036,"{0: [10.035820007324219], 1: [10.036214828491211], 2: [10.036214828491211], 3: [10.036114692687988], 4: [10.036048889160156], 5: [10.036048889160156], 6: [10.036247253417969], 7: [10.036280632019043], 8: [10.036214828491211], 9: [10.036114692687988]}",,46,0.0
-3.997,18,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 3, 3: 5, 4: 6, 5: 3, 6: 2, 7: 7, 8: 7, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [3], 3: [5], 4: [6], 5: [3], 6: [2], 7: [7], 8: [7], 9: [6]}",10.035,10.035,"{0: [10.034683227539062], 1: [10.034875869750977], 2: [10.035199165344238], 3: [10.035167694091797], 4: [10.03497314453125], 5: [10.035101890563965], 6: [10.034875869750977], 7: [10.035167694091797], 8: [10.035070419311523], 9: [10.035167694091797]}",,47,0.0
-3.9038,19,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 8, 1: 7, 2: 1, 3: 5, 4: 6, 5: 5, 6: 6, 7: 7, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [8], 1: [7], 2: [1], 3: [5], 4: [6], 5: [5], 6: [6], 7: [7], 8: [5], 9: [5]}",10.034,10.034,"{0: [10.033638000488281], 1: [10.034173011779785], 2: [10.033729553222656], 3: [10.034079551696777], 4: [10.033985137939453], 5: [10.034141540527344], 6: [10.034079551696777], 7: [10.034079551696777], 8: [10.034111022949219], 9: [10.033985137939453]}",,55,0.0
-3.8074,20,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 4, 3: 6, 4: 4, 5: 6, 6: 5, 7: 3, 8: 5, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [4], 3: [6], 4: [4], 5: [6], 6: [5], 7: [3], 8: [5], 9: [2]}",10.033,10.033,"{0: [10.032400131225586], 1: [10.032891273498535], 2: [10.032766342163086], 3: [10.032891273498535], 4: [10.032951354980469], 5: [10.032891273498535], 6: [10.032920837402344], 7: [10.032828330993652], 8: [10.032613754272461], 9: [10.032766342163086]}",,46,0.0
