cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-0.46,0.0635,100.003,10,10,0.0,"{0: 22, 1: 9, 2: 10, 3: 12, 4: 12, 5: 14, 6: 10, 7: 9, 8: 4, 9: 11}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [9], 2: [10], 3: [12], 4: [12], 5: [14], 6: [10], 7: [9], 8: [4], 9: [11]}",100.003,"{0: [100.00395202636719], 1: [100.00433349609375], 2: [100.00419616699219], 3: [100.00433349609375], 4: [100.00436401367188], 5: [100.00433349609375], 6: [100.00419616699219], 7: [100.00433349609375], 8: [100.00358581542969], 9: [100.00405883789062]}",,113
1,-0.147,0.0635,100.608,10,10,0.0,"{0: 45, 1: 38, 2: 33, 3: 38, 4: 36, 5: 33, 6: 36, 7: 28, 8: 41, 9: 29}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [45], 1: [38], 2: [33], 3: [38], 4: [36], 5: [33], 6: [36], 7: [28], 8: [41], 9: [29]}",100.608,"{0: [102.2618408203125], 1: [100.01480102539062], 2: [100.01481628417969], 3: [100.07009887695312], 4: [100.07011413574219], 5: [100.01481628417969], 6: [100.07009887695312], 7: [100.07008361816406], 8: [100.01480102539062], 9: [100.01484680175781]}",,357
2,0.1767,0.0635,102.395,10,10,0.0,"{0: 12, 1: 17, 2: 20, 3: 21, 4: 19, 5: 18, 6: 18, 7: 14, 8: 19, 9: 11}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [12], 1: [17], 2: [20], 3: [21], 4: [19], 5: [18], 6: [18], 7: [14], 8: [19], 9: [11]}",102.395,"{0: [102.46871185302734], 1: [102.4544677734375], 2: [102.46867370605469], 3: [102.4542465209961], 4: [102.4544677734375], 5: [102.45413970947266], 6: [102.46858215332031], 7: [102.468505859375], 8: [102.46858215332031], 9: [102.45436096191406]}",,169
