azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-0.5456,0,0.0635,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]","{0: 5, 1: 3, 2: 2, 3: 3, 4: 4, 5: 5, 6: 3, 7: 1, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 9: 1}","{0: [5], 1: [3], 2: [2], 3: [3], 4: [4], 5: [5], 6: [3], 7: [1], 9: [2]}",100.005,100.005,"{0: [100.00473022460938], 1: [100.00480651855469], 2: [100.00471496582031], 3: [100.00485229492188], 4: [100.00480651855469], 5: [100.00480651855469], 6: [100.00466918945312], 7: [100.0049819946289], 9: [100.00457763671875]}",,28,0.0
-0.4724,1,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 6, 3: 7, 4: 6, 5: 8, 6: 5, 7: 5, 8: 2, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [6], 3: [7], 4: [6], 5: [8], 6: [5], 7: [5], 8: [2], 9: [5]}",100.003,100.003,"{0: [100.00323486328125], 1: [100.00387573242188], 2: [100.00369262695312], 3: [100.00381469726562], 4: [100.00381469726562], 5: [100.00381469726562], 6: [100.00384521484375], 7: [100.00369262695312], 8: [100.00387573242188], 9: [100.00387573242188]}",,53,0.0
-0.3751,2,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 6, 3: 5, 4: 3, 5: 3, 6: 3, 7: 5, 8: 4, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [6], 3: [5], 4: [3], 5: [3], 6: [3], 7: [5], 8: [4], 9: [5]}",100.002,100.002,"{0: [100.0020523071289], 1: [100.00232696533203], 2: [100.00251770019531], 3: [100.00251770019531], 4: [100.00244140625], 5: [100.00225830078125], 6: [100.00244140625], 7: [100.00247192382812], 8: [100.00247192382812], 9: [100.00263214111328]}",,46,0.0
-0.2855,3,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 6, 3: 2, 4: 5, 5: 5, 6: 4, 7: 3, 8: 7, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [6], 3: [2], 4: [5], 5: [5], 6: [4], 7: [3], 8: [7], 9: [6]}",100.001,100.001,"{0: [100.00125885009766], 1: [100.00146484375], 2: [100.00144958496094], 3: [100.00163269042969], 4: [100.00144958496094], 5: [100.00152587890625], 6: [100.00148010253906], 7: [100.00151062011719], 8: [100.00152587890625], 9: [100.00144958496094]}",,50,0.0
-0.1895,4,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 15, 1: 10, 2: 5, 3: 9, 4: 9, 5: 8, 6: 10, 7: 8, 8: 11, 9: 13}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [10], 2: [5], 3: [9], 4: [9], 5: [8], 6: [10], 7: [8], 8: [11], 9: [13]}",100.572,100.572,"{0: [100.07032775878906], 1: [100.0152359008789], 2: [100.01541137695312], 3: [100.01518249511719], 4: [100.01518249511719], 5: [100.0704574584961], 6: [100.0704574584961], 7: [100.070556640625], 8: [100.07051086425781], 9: [100.0704574584961]}",,98,0.0
-0.1083,5,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 14, 1: 9, 2: 12, 3: 12, 4: 18, 5: 12, 6: 18, 7: 3, 8: 9, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [14], 1: [9], 2: [12], 3: [12], 4: [18], 5: [12], 6: [18], 7: [3], 8: [9], 9: [6]}",100.754,100.754,"{0: [100.07009887695312], 1: [100.07017517089844], 2: [100.07013702392578], 3: [100.07015991210938], 4: [100.07013702392578], 5: [100.07028198242188], 6: [100.07018280029297], 7: [100.07017517089844], 8: [100.07015991210938], 9: [100.07015991210938]}",,113,0.0
-0.0264,6,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 11, 1: 10, 2: 6, 3: 14, 4: 5, 5: 8, 6: 4, 7: 12, 8: 12, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [11], 1: [10], 2: [6], 3: [14], 4: [5], 5: [8], 6: [4], 7: [12], 8: [12], 9: [4]}",100.852,100.852,"{0: [102.2615966796875], 1: [100.070068359375], 2: [100.07008361816406], 3: [100.06858825683594], 4: [100.06858825683594], 5: [100.06858825683594], 6: [100.068603515625], 7: [100.070068359375], 8: [100.070068359375], 9: [100.070068359375]}",,86,0.0
0.0671,7,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 7, 3: 6, 4: 6, 5: 6, 6: 4, 7: 3, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [7], 3: [6], 4: [6], 5: [6], 6: [4], 7: [3], 8: [4], 9: [4]}",102.467,102.467,"{0: [102.4674072265625], 1: [102.46726989746094], 2: [102.46731567382812], 3: [102.46731567382812], 4: [102.46731567382812], 5: [102.46730041503906], 6: [102.46727752685547], 7: [102.4673080444336], 8: [102.46726989746094], 9: [102.46726989746094]}",,50,0.0
0.1732,8,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 7, 2: 5, 3: 9, 4: 7, 5: 2, 6: 7, 7: 4, 8: 5, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [7], 2: [5], 3: [9], 4: [7], 5: [2], 6: [7], 7: [4], 8: [5], 9: [2]}",102.468,102.468,"{0: [102.46798706054688], 1: [102.46775817871094], 2: [102.4676513671875], 3: [102.46775817871094], 4: [102.46775817871094], 5: [102.46768188476562], 6: [102.46776580810547], 7: [102.46775817871094], 8: [102.46775817871094], 9: [102.46771240234375]}",,54,0.0
0.267,9,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 2, 2: 5, 3: 3, 4: 3, 5: 7, 6: 3, 7: 5, 8: 7, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [2], 2: [5], 3: [3], 4: [3], 5: [7], 6: [3], 7: [5], 8: [7], 9: [2]}",102.468,102.468,"{0: [102.46868896484375], 1: [102.46834564208984], 2: [102.46845245361328], 3: [102.46832275390625], 4: [102.46841430664062], 5: [102.4683837890625], 6: [102.4683837890625], 7: [102.46830749511719], 8: [102.46845245361328], 9: [102.46851348876953]}",,42,0.0
