cell_id,frame_id,num_groups,peaks,counts,n_points
226,0,1,10.030957,1,1
226,3,1,10.030957,1,1
226,5,1,10.030957,1,1
226,7,1,10.030957,1,1
226,8,1,10.030957,1,1
226,9,1,10.030957,1,1
227,0,1,10.030681,3,3
227,1,1,10.030487,4,4
227,2,1,10.030625,8,8
227,3,1,10.030653,6,6
227,4,1,10.030625,5,5
227,5,1,10.030625,7,7
227,6,1,10.030653,6,6
227,7,1,10.030681,3,3
227,8,1,10.030543,6,6
227,9,1,10.030543,4,4
228,0,1,10.029639,6,6
228,1,1,10.029371,3,3
228,2,1,10.029612,5,5
228,3,1,10.029532,7,7
228,4,1,10.029666,5,5
228,5,1,10.029612,6,6
228,6,1,10.029639,5,5
228,7,1,10.029532,6,6
228,8,1,10.029452,5,5
228,9,1,10.029452,4,4
229,0,1,10.028577,7,7
229,1,1,10.028603,6,6
229,2,1,10.028577,3,3
229,3,1,10.028629,4,4
229,4,1,10.028499,5,5
229,5,1,10.028603,6,6
229,6,1,10.028421,5,5
229,7,1,10.028603,5,5
229,8,1,10.028421,6,6
229,9,1,10.028343,5,5
230,0,1,10.027624,7,7
230,1,1,10.027573,6,6
230,2,1,10.027321,3,3
230,3,1,10.027598,4,4
230,4,1,10.027548,5,5
230,5,1,10.027649,6,6
230,6,1,10.027498,6,6
230,7,1,10.027674,4,4
230,8,1,10.027649,5,5
230,9,1,10.027573,6,6
231,0,1,10.026699,7,7
231,1,1,10.026578,5,5
231,2,1,10.026431,4,4
231,3,1,10.026651,3,3
231,4,1,10.026578,6,6
231,5,1,10.026651,6,6
231,6,1,10.026626,4,4
231,7,1,10.026724,2,2
231,8,1,10.026724,3,3
231,9,1,10.026431,4,4
232,0,1,10.025687,4,4
232,1,1,10.025687,8,8
232,2,1,10.025781,4,4
232,3,1,10.025757,6,6
232,4,1,10.025757,6,6
232,5,1,10.025781,6,6
232,6,1,10.025757,8,8
232,7,1,10.025804,4,4
232,8,1,10.025781,8,8
232,9,1,10.025781,6,6
233,0,1,10.024779,6,6
233,1,1,10.024870,7,7
233,2,1,10.024848,7,7
233,3,1,10.024870,5,5
233,4,1,10.024779,6,6
233,5,1,10.024848,9,9
233,6,1,10.024870,7,7
233,7,1,10.024893,5,5
233,8,1,10.024870,6,6
233,9,1,10.024893,6,6
234,0,1,10.024014,4,4
234,1,1,10.024014,7,7
234,2,1,10.024014,8,8
234,3,1,10.024014,6,6
234,4,1,10.024014,7,7
234,5,1,10.024014,7,7
234,6,1,10.024058,4,4
234,7,1,10.023948,5,5
234,8,1,10.023948,7,7
234,9,1,10.024014,8,8
235,0,1,10.023104,8,8
235,1,1,10.023061,4,4
235,2,1,10.023252,1,1
235,3,1,10.023209,5,5
235,4,1,10.023209,4,4
235,5,1,10.023146,4,4
235,6,1,10.023209,4,4
235,7,1,10.023209,5,5
235,8,1,10.023104,5,5
235,9,1,10.023167,6,6
236,0,1,10.022332,7,7
236,1,1,10.022413,8,8
236,2,1,10.022434,4,4
236,3,1,10.022352,5,5
236,4,1,10.022474,3,3
236,5,1,10.022393,5,5
236,6,1,10.022332,5,5
236,7,1,10.022332,6,6
236,8,1,10.022332,6,6
236,9,1,10.022393,7,7
237,0,1,10.021433,6,6
237,1,1,10.021648,5,5
237,2,1,10.021628,5,5
237,3,1,10.021609,6,6
237,4,1,10.021550,5,5
237,5,1,10.021609,4,4
237,6,1,10.021609,5,5
237,7,1,10.021453,5,5
237,8,1,10.021550,6,6
237,9,1,10.021609,6,6
238,0,1,10.020876,3,3
238,1,1,10.020801,4,4
238,2,1,10.020913,5,5
238,3,1,10.020895,7,7
238,4,1,10.020895,7,7
238,5,1,10.020895,8,8
238,6,1,10.020913,7,7
238,7,1,10.020932,6,6
238,8,1,10.020895,7,7
238,9,1,10.020782,6,6
239,0,1,10.020066,4,4
239,1,1,10.020173,6,6
239,2,1,10.020120,6,6
239,3,1,10.020209,4,4
239,4,1,10.020137,7,7
239,5,1,10.020120,5,5
239,6,1,10.020120,7,7
239,7,1,10.020191,7,7
239,8,1,10.020173,5,5
239,9,1,10.020173,5,5
240,0,1,10.019416,5,5
240,1,1,10.019347,3,3
240,2,1,10.019467,6,6
240,3,1,10.019433,5,5
240,4,1,10.019536,5,5
240,5,1,10.019518,7,7
240,6,1,10.019518,5,5
240,7,1,10.019536,7,7
240,8,1,10.019518,5,5
240,9,1,10.019501,5,5
241,0,1,10.018762,5,5
241,1,1,10.018713,4,4
241,2,1,10.018811,6,6
241,3,1,10.018827,3,3
241,4,1,10.018876,5,5
241,5,1,10.018811,5,5
241,6,1,10.018860,4,4
241,7,1,10.018876,3,3
241,8,1,10.018713,5,5
241,9,1,10.018860,7,7
242,0,1,10.018218,6,6
242,1,1,10.018265,8,8
242,2,1,10.018172,5,5
242,3,1,10.018265,4,4
242,4,1,10.018280,6,6
242,5,1,10.018234,6,6
242,6,1,10.018373,3,3
242,7,1,10.018172,5,5
242,8,1,10.018172,3,3
242,9,1,10.018265,6,6
243,0,1,10.017698,5,5
243,1,1,10.017669,6,6
243,2,1,10.017625,7,7
243,3,1,10.017625,4,4
243,4,1,10.017698,7,7
243,5,1,10.017669,7,7
243,6,1,10.017669,8,8
243,7,1,10.017669,6,6
243,8,1,10.017669,4,4
243,9,1,10.017669,7,7
244,0,1,10.017133,6,6
244,1,1,10.017064,5,5
244,2,1,10.017175,6,6
244,3,1,10.017133,7,7
244,4,1,10.017133,5,5
244,5,1,10.017050,5,5
244,6,1,10.017133,4,4
244,7,1,10.017022,6,6
244,8,1,10.017050,4,4
244,9,1,10.017133,7,7
245,0,1,10.016600,3,3
245,1,1,10.016574,4,4
245,2,1,10.016417,3,3
245,3,1,10.016600,5,5
245,4,1,10.016600,6,6
245,5,1,10.016443,3,3
245,6,1,10.016325,2,2
245,7,1,10.016522,6,6
245,8,1,10.016522,4,4
245,9,1,10.016600,5,5
246,0,1,10.016026,2,2
246,1,1,10.016099,5,5
246,2,1,10.016124,3,3
246,3,1,10.016148,8,8
246,4,1,10.016087,4,4
246,5,1,10.016124,6,6
246,6,1,10.016124,5,5
246,7,1,10.016013,6,6
246,8,1,10.016136,4,4
246,9,1,10.016087,4,4
247,0,1,10.015654,4,4
247,1,1,10.015596,5,5
247,2,1,10.015596,4,4
247,3,1,10.015619,6,6
247,4,1,10.015619,5,5
247,5,1,10.015619,5,5
247,6,1,10.015665,3,3
247,7,1,10.015619,4,4
247,8,1,10.015654,5,5
247,9,1,10.015573,3,3
248,0,1,10.015173,5,5
248,1,1,10.015237,6,6
248,2,1,10.015205,5,5
248,3,1,10.015237,6,6
248,4,1,10.015237,6,6
248,5,1,10.015237,9,9
248,6,1,10.015215,5,5
248,7,1,10.015226,5,5
248,8,1,10.015183,5,5
248,9,1,10.015141,4,4
