azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-5.6669,0,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 5, 2: 3, 3: 2, 4: 3, 5: 4, 6: 5, 7: 3, 8: 6, 9: 1}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [5], 2: [3], 3: [2], 4: [3], 5: [4], 6: [5], 7: [3], 8: [6], 9: [1]}",10.06,10.06,"{0: [10.059550285339355], 1: [10.05996322631836], 2: [10.05996322631836], 3: [10.059274673461914], 4: [10.059686660766602], 5: [10.060009002685547], 6: [10.05996322631836], 7: [10.059915542602539], 8: [10.05996322631836], 9: [10.0602388381958]}",,39,0.0
-5.5893,1,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 5, 3: 5, 4: 4, 5: 6, 6: 4, 7: 4, 8: 5, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [5], 3: [5], 4: [4], 5: [6], 6: [4], 7: [4], 8: [5], 9: [3]}",10.058,10.058,"{0: [10.058095932006836], 1: [10.058366775512695], 2: [10.058502197265625], 3: [10.058639526367188], 4: [10.058818817138672], 5: [10.058639526367188], 6: [10.058683395385742], 7: [10.058683395385742], 8: [10.058502197265625], 9: [10.05813980102539]}",,45,0.0
-5.4971,2,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 2, 2: 8, 3: 3, 4: 4, 5: 7, 6: 8, 7: 7, 8: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [2], 2: [8], 3: [3], 4: [4], 5: [7], 6: [8], 7: [7], 8: [5], 9: [6]}",10.057,10.057,"{0: [10.056486129760742], 1: [10.056707382202148], 2: [10.057154655456543], 3: [10.056974411010742], 4: [10.056886672973633], 5: [10.05702018737793], 6: [10.057154655456543], 7: [10.057198524475098], 8: [10.056886672973633], 9: [10.057154655456543]}",,54,0.0
-5.4101,3,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 4, 3: 4, 4: 6, 5: 6, 6: 6, 7: 4, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [4], 3: [4], 4: [6], 5: [6], 6: [6], 7: [4], 8: [5], 9: [5]}",10.055,10.055,"{0: [10.055079460144043], 1: [10.055384635925293], 2: [10.055253028869629], 3: [10.055692672729492], 4: [10.055604934692383], 5: [10.055604934692383], 6: [10.055604934692383], 7: [10.055384635925293], 8: [10.055692672729492], 9: [10.055472373962402]}",,48,0.0
-5.3242,4,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 5, 3: 6, 4: 5, 5: 4, 6: 3, 7: 3, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [5], 3: [6], 4: [5], 5: [4], 6: [3], 7: [3], 8: [5], 9: [5]}",10.054,10.054,"{0: [10.053779602050781], 1: [10.054210662841797], 2: [10.054210662841797], 3: [10.054210662841797], 4: [10.054253578186035], 5: [10.05395221710205], 6: [10.054080963134766], 7: [10.054210662841797], 8: [10.054210662841797], 9: [10.054296493530273]}",,47,0.0
-5.2318,5,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 6, 3: 9, 4: 6, 5: 6, 6: 6, 7: 3, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [6], 3: [9], 4: [6], 5: [6], 6: [6], 7: [3], 8: [5], 9: [5]}",10.052,10.052,"{0: [10.051994323730469], 1: [10.052711486816406], 2: [10.052756309509277], 3: [10.052756309509277], 4: [10.052756309509277], 5: [10.052669525146484], 6: [10.052924156188965], 7: [10.052371978759766], 8: [10.052372932434082], 9: [10.052756309509277]}",,57,0.0
-5.1308,6,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 5, 3: 6, 4: 5, 5: 3, 6: 6, 7: 5, 8: 4, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [5], 3: [6], 4: [5], 5: [3], 6: [6], 7: [5], 8: [4], 9: [5]}",10.051,10.051,"{0: [10.050658226013184], 1: [10.05078125], 2: [10.05107307434082], 3: [10.051031112670898], 4: [10.050990104675293], 5: [10.050616264343262], 6: [10.051115036010742], 7: [10.051156997680664], 8: [10.051156997680664], 9: [10.051156997680664]}",,47,0.0
-5.0371,7,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 5, 3: 4, 4: 4, 5: 5, 6: 2, 7: 5, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [5], 3: [4], 4: [4], 5: [5], 6: [2], 7: [5], 8: [5], 9: [5]}",10.049,10.049,"{0: [10.048938751220703], 1: [10.049507141113281], 2: [10.049752235412598], 3: [10.049631118774414], 4: [10.049385070800781], 5: [10.049631118774414], 6: [10.04930305480957], 7: [10.049589157104492], 8: [10.049711227416992], 9: [10.049631118774414]}",,44,0.0
-4.9383,8,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 3, 2: 5, 3: 6, 4: 2, 5: 2, 6: 5, 7: 4, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [3], 2: [5], 3: [6], 4: [2], 5: [2], 6: [5], 7: [4], 8: [5], 9: [5]}",10.048,10.048,"{0: [10.047653198242188], 1: [10.048012733459473], 2: [10.048053741455078], 3: [10.048173904418945], 4: [10.047334671020508], 5: [10.048173904418945], 6: [10.048053741455078], 7: [10.048213958740234], 8: [10.048213958740234], 9: [10.048173904418945]}",,42,0.0
-4.8611,9,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 2, 1: 4, 2: 5, 3: 5, 4: 5, 5: 4, 6: 5, 7: 2, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [2], 1: [4], 2: [5], 3: [5], 4: [5], 5: [4], 6: [5], 7: [2], 8: [5], 9: [5]}",10.047,10.047,"{0: [10.046468734741211], 1: [10.046822547912598], 2: [10.046822547912598], 3: [10.04686164855957], 4: [10.046822547912598], 5: [10.046900749206543], 6: [10.04670524597168], 7: [10.046351432800293], 8: [10.046822547912598], 9: [10.046822547912598]}",,42,0.0
-4.7757,10,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 1, 2: 4, 3: 3, 4: 5, 5: 6, 6: 6, 7: 4, 8: 6, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [1], 2: [4], 3: [3], 4: [5], 5: [6], 6: [6], 7: [4], 8: [6], 9: [4]}",10.045,10.045,"{0: [10.045112609863281], 1: [10.045034408569336], 2: [10.045574188232422], 3: [10.045536041259766], 4: [10.045653343200684], 5: [10.045653343200684], 6: [10.045653343200684], 7: [10.04569149017334], 8: [10.045536041259766], 9: [10.045612335205078]}",,42,0.0
-4.6804,11,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 8, 1: 3, 2: 8, 3: 7, 4: 6, 5: 5, 6: 6, 7: 4, 8: 3, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [8], 1: [3], 2: [8], 3: [7], 4: [6], 5: [5], 6: [6], 7: [4], 8: [3], 9: [5]}",10.044,10.044,"{0: [10.043706893920898], 1: [10.043855667114258], 2: [10.0443115234375], 3: [10.044197082519531], 4: [10.044197082519531], 5: [10.04434871673584], 6: [10.0443115234375], 7: [10.044082641601562], 8: [10.044424057006836], 9: [10.04434871673584]}",,55,0.0
-4.5987,12,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 7, 3: 5, 4: 5, 5: 4, 6: 3, 7: 2, 8: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [7], 3: [5], 4: [5], 5: [4], 6: [3], 7: [2], 8: [5], 9: [6]}",10.043,10.043,"{0: [10.042551040649414], 1: [10.043144226074219], 2: [10.043107986450195], 3: [10.043107986450195], 4: [10.043144226074219], 5: [10.04277229309082], 6: [10.042957305908203], 7: [10.043180465698242], 8: [10.042882919311523], 9: [10.043107986450195]}",,48,0.0
-4.5029,13,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 6, 2: 6, 3: 6, 4: 6, 5: 4, 6: 5, 7: 3, 8: 8, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [6], 2: [6], 3: [6], 4: [6], 5: [4], 6: [5], 7: [3], 8: [8], 9: [5]}",10.041,10.041,"{0: [10.041342735290527], 1: [10.041853904724121], 2: [10.041744232177734], 3: [10.041633605957031], 4: [10.041890144348145], 5: [10.041890144348145], 6: [10.041744232177734], 7: [10.041667938232422], 8: [10.041853904724121], 9: [10.041853904724121]}",,56,0.0
