azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-1.1022,0,0.4286,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]","{0: 5, 1: 5, 2: 4, 3: 5, 4: 1, 5: 3, 6: 4, 7: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 9: 1}","{0: [5], 1: [5], 2: [4], 3: [5], 4: [1], 5: [3], 6: [4], 7: [5], 9: [6]}",50.011,50.011,"{0: [50.01057052612305], 1: [50.010963439941406], 2: [50.010738372802734], 3: [50.010963439941406], 4: [50.011051177978516], 5: [50.01069641113281], 6: [50.011009216308594], 7: [50.010963439941406], 9: [50.010963439941406]}",,38,0.0
-1.0196,1,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 3, 2: 5, 3: 6, 4: 3, 5: 4, 6: 3, 7: 3, 8: 7, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [3], 2: [5], 3: [6], 4: [3], 5: [4], 6: [3], 7: [3], 8: [7], 9: [3]}",50.009,50.009,"{0: [50.00921630859375], 1: [50.00970458984375], 2: [50.00971221923828], 3: [50.00971221923828], 4: [50.00971221923828], 5: [50.00958251953125], 6: [50.009788513183594], 7: [50.009788513183594], 8: [50.00971221923828], 9: [50.009090423583984]}",,44,0.0
-0.9208,2,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 2, 1: 9, 2: 4, 3: 8, 4: 4, 5: 6, 6: 7, 7: 6, 8: 7, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [2], 1: [9], 2: [4], 3: [8], 4: [4], 5: [6], 6: [7], 7: [6], 8: [7], 9: [8]}",50.008,50.008,"{0: [50.007816314697266], 1: [50.00828552246094], 2: [50.008087158203125], 3: [50.0081672668457], 4: [50.008460998535156], 5: [50.008052825927734], 6: [50.00835418701172], 7: [50.007938385009766], 8: [50.00838851928711], 9: [50.0081672668457]}",,61,0.0
-0.801,3,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 7, 2: 8, 3: 5, 4: 7, 5: 5, 6: 4, 7: 7, 8: 8, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [7], 2: [8], 3: [5], 4: [7], 5: [5], 6: [4], 7: [7], 8: [8], 9: [6]}",50.006,50.006,"{0: [50.006080627441406], 1: [50.00663757324219], 2: [50.00653839111328], 3: [50.00663757324219], 4: [50.00663757324219], 5: [50.00666809082031], 6: [50.006439208984375], 7: [50.00663757324219], 8: [50.00663757324219], 9: [50.00663757324219]}",,60,0.0
-0.7078,4,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 7, 3: 4, 4: 6, 5: 4, 6: 4, 7: 3, 8: 3, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [7], 3: [4], 4: [6], 5: [4], 6: [4], 7: [3], 8: [3], 9: [5]}",50.005,50.005,"{0: [50.00502014160156], 1: [50.00544738769531], 2: [50.00547790527344], 3: [50.005271911621094], 4: [50.00547790527344], 5: [50.00547790527344], 6: [50.0055046081543], 7: [50.00536346435547], 8: [50.00536346435547], 9: [50.00544738769531]}",,47,0.0
-0.6173,5,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 2, 2: 8, 3: 3, 4: 6, 5: 3, 6: 7, 7: 3, 8: 7, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [2], 2: [8], 3: [3], 4: [6], 5: [3], 6: [7], 7: [3], 8: [7], 9: [5]}",50.004,50.004,"{0: [50.00416946411133], 1: [50.004661560058594], 2: [50.00457000732422], 3: [50.00457000732422], 4: [50.004512786865234], 5: [50.0042839050293], 6: [50.00446701049805], 7: [50.00443649291992], 8: [50.00454330444336], 9: [50.00457000732422]}",,49,0.0
-0.5236,6,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 6, 3: 5, 4: 5, 5: 5, 6: 4, 7: 5, 8: 4, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [6], 3: [5], 4: [5], 5: [5], 6: [4], 7: [5], 8: [4], 9: [3]}",50.003,50.003,"{0: [50.00348663330078], 1: [50.00357437133789], 2: [50.00373077392578], 3: [50.003639221191406], 4: [50.00359344482422], 5: [50.00370788574219], 6: [50.00370788574219], 7: [50.00370788574219], 8: [50.00370788574219], 9: [50.003379821777344]}",,47,0.0
-0.4249,7,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 7, 3: 8, 4: 7, 5: 8, 6: 6, 7: 7, 8: 8, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [7], 3: [8], 4: [7], 5: [8], 6: [6], 7: [7], 8: [8], 9: [10]}",50.003,50.003,"{0: [50.002784729003906], 1: [50.003013610839844], 2: [50.002769470214844], 3: [50.002952575683594], 4: [50.00299835205078], 5: [50.00289535522461], 6: [50.002967834472656], 7: [50.003028869628906], 8: [50.00288009643555], 9: [50.00299835205078]}",,72,0.0
-0.2963,8,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 4, 2: 6, 3: 8, 4: 7, 5: 5, 6: 6, 7: 9, 8: 7, 9: 9}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [4], 2: [6], 3: [8], 4: [7], 5: [5], 6: [6], 7: [9], 8: [7], 9: [9]}",50.002,50.002,"{0: [50.00194549560547], 1: [50.002296447753906], 2: [50.002197265625], 3: [50.00225067138672], 4: [50.002159118652344], 5: [50.002262115478516], 6: [50.00212097167969], 7: [50.002197265625], 8: [50.00224304199219], 9: [50.002262115478516]}",,67,0.0
-0.1729,9,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 9, 3: 8, 4: 6, 5: 6, 6: 5, 7: 8, 8: 6, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [9], 3: [8], 4: [6], 5: [6], 6: [5], 7: [8], 8: [6], 9: [5]}",50.002,50.002,"{0: [50.00163269042969], 1: [50.001708984375], 2: [50.00173568725586], 3: [50.00173568725586], 4: [50.00173568725586], 5: [50.00163269042969], 6: [50.00168228149414], 7: [50.001708984375], 8: [50.00163269042969], 9: [50.00173568725586]}",,65,0.0
