cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-1.0275,0.4286,50.009,10,10,0.0,"{0: 16, 1: 12, 2: 10, 3: 13, 4: 7, 5: 9, 6: 9, 7: 10, 8: 12, 9: 13}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [12], 2: [10], 3: [13], 4: [7], 5: [9], 6: [9], 7: [10], 8: [12], 9: [13]}",50.009,"{0: [50.00962829589844], 1: [50.010440826416016], 2: [50.010250091552734], 3: [50.01051712036133], 4: [50.010345458984375], 5: [50.01017379760742], 6: [50.01051712036133], 7: [50.010440826416016], 8: [50.009517669677734], 9: [50.010440826416016]}",,111
1,-0.7277,0.4286,50.006,10,10,0.0,"{0: 20, 1: 20, 2: 28, 3: 19, 4: 20, 5: 17, 6: 21, 7: 19, 8: 21, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [20], 2: [28], 3: [19], 4: [20], 5: [17], 6: [21], 7: [19], 8: [21], 9: [20]}",50.006,"{0: [50.004817962646484], 1: [50.00694274902344], 2: [50.00666809082031], 3: [50.00688552856445], 4: [50.00687026977539], 5: [50.00680160522461], 6: [50.00690841674805], 7: [50.006778717041016], 8: [50.00680160522461], 9: [50.0069580078125]}",,205
2,-0.3627,0.4286,50.002,10,10,0.0,"{0: 16, 1: 16, 2: 21, 3: 22, 4: 23, 5: 17, 6: 17, 7: 22, 8: 18, 9: 25}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [16], 2: [21], 3: [22], 4: [23], 5: [17], 6: [17], 7: [22], 8: [18], 9: [25]}",50.002,"{0: [50.002220153808594], 1: [50.00320053100586], 2: [50.00312042236328], 3: [50.00320053100586], 4: [50.0031852722168], 5: [50.003173828125], 6: [50.003055572509766], 7: [50.00312042236328], 8: [50.003089904785156], 9: [50.00299072265625]}",,197
3,-0.0976,0.4286,50.001,10,10,0.0,"{0: 1, 1: 11, 2: 12, 3: 13, 4: 9, 5: 13, 6: 10, 7: 11, 8: 13, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [1], 1: [11], 2: [12], 3: [13], 4: [9], 5: [13], 6: [10], 7: [11], 8: [13], 9: [8]}",50.001,"{0: [50.001399993896484], 1: [50.00160217285156], 2: [50.00160217285156], 3: [50.00160217285156], 4: [50.00154113769531], 5: [50.00160217285156], 6: [50.00156021118164], 7: [50.001583099365234], 8: [50.00160217285156], 9: [50.0015869140625]}",,101
4,-1.0227,0.0635,50.008,10,10,0.0,"{0: 23, 1: 12, 2: 11, 3: 14, 4: 12, 5: 9, 6: 11, 7: 10, 8: 9, 9: 12}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [12], 2: [11], 3: [14], 4: [12], 5: [9], 6: [11], 7: [10], 8: [9], 9: [12]}",50.008,"{0: [50.008426666259766], 1: [50.00911331176758], 2: [50.00901794433594], 3: [50.00897979736328], 4: [50.00911331176758], 5: [50.00897979736328], 6: [50.00897979736328], 7: [50.00884246826172], 8: [50.00911331176758], 9: [50.00911331176758]}",,123
5,-0.7357,0.0635,50.004,10,10,0.0,"{0: 20, 1: 16, 2: 22, 3: 20, 4: 20, 5: 17, 6: 14, 7: 18, 8: 19, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [16], 2: [22], 3: [20], 4: [20], 5: [17], 6: [14], 7: [18], 8: [19], 9: [17]}",50.004,"{0: [50.003631591796875], 1: [50.005455017089844], 2: [50.00567626953125], 3: [50.00567626953125], 4: [50.00567626953125], 5: [50.00558853149414], 6: [50.00567626953125], 7: [50.005455017089844], 8: [50.00556564331055], 9: [50.005348205566406]}",,183
6,-0.3767,0.0635,50.001,10,10,0.0,"{0: 19, 1: 21, 2: 20, 3: 22, 4: 14, 5: 24, 6: 23, 7: 13, 8: 19, 9: 23}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [21], 2: [20], 3: [22], 4: [14], 5: [24], 6: [23], 7: [13], 8: [19], 9: [23]}",50.001,"{0: [50.000953674316406], 1: [50.00176239013672], 2: [50.00189208984375], 3: [50.00196075439453], 4: [50.00196075439453], 5: [50.00196075439453], 6: [50.00196075439453], 7: [50.00196838378906], 8: [50.00196838378906], 9: [50.00196075439453]}",,198
7,-0.0429,0.0635,50.447,10,10,0.0,"{0: 33, 1: 42, 2: 42, 3: 28, 4: 38, 5: 43, 6: 40, 7: 35, 8: 58, 9: 39}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [33], 1: [42], 2: [42], 3: [28], 4: [38], 5: [43], 6: [40], 7: [35], 8: [58], 9: [39]}",50.447,"{0: [50.87840270996094], 1: [50.056915283203125], 2: [50.05691909790039], 3: [50.85335922241211], 4: [50.056915283203125], 5: [50.05691909790039], 6: [50.05691909790039], 7: [50.85335922241211], 8: [50.056922912597656], 9: [50.85335922241211]}",,398
8,0.3721,0.0635,50.911,10,10,0.0,"{0: 18, 1: 16, 2: 15, 3: 18, 4: 15, 5: 15, 6: 21, 7: 20, 8: 17, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [16], 2: [15], 3: [18], 4: [15], 5: [15], 6: [21], 7: [20], 8: [17], 9: [20]}",50.911,"{0: [50.9129638671875], 1: [50.91161346435547], 2: [50.91162109375], 3: [50.9117431640625], 4: [50.911766052246094], 5: [50.9117431640625], 6: [50.9117431640625], 7: [50.9117431640625], 8: [50.91156005859375], 9: [50.91168212890625]}",,175
9,0.7327,0.0635,50.914,10,10,0.0,"{0: 10, 1: 16, 2: 27, 3: 19, 4: 20, 5: 24, 6: 16, 7: 20, 8: 17, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [10], 1: [16], 2: [27], 3: [19], 4: [20], 5: [24], 6: [16], 7: [20], 8: [17], 9: [22]}",50.914,"{0: [50.9156494140625], 1: [50.91512680053711], 2: [50.91548156738281], 3: [50.91523742675781], 4: [50.91532897949219], 5: [50.9153938293457], 6: [50.91545867919922], 7: [50.91545867919922], 8: [50.91534423828125], 9: [50.91534423828125]}",,191
