azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-1.1071,0,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 3, 3: 4, 4: 5, 5: 1, 6: 1, 7: 5, 8: 1, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [3], 3: [4], 4: [5], 5: [1], 6: [1], 7: [5], 8: [1], 9: [2]}",50.011,50.011,"{0: [50.010921478271484], 1: [50.010738372802734], 2: [50.01087188720703], 3: [50.011009216308594], 4: [50.011009216308594], 5: [50.01034164428711], 6: [50.01087188720703], 7: [50.011009216308594], 8: [50.011051177978516], 9: [50.01118469238281]}",,31,0.0
-1.0325,1,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 6, 3: 4, 4: 3, 5: 4, 6: 4, 7: 2, 8: 4, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [6], 3: [4], 4: [3], 5: [4], 6: [4], 7: [2], 8: [4], 9: [6]}",50.01,50.01,"{0: [50.00921630859375], 1: [50.00988006591797], 2: [50.00988006591797], 3: [50.009620666503906], 4: [50.00996017456055], 5: [50.009620666503906], 6: [50.00996017456055], 7: [50.009620666503906], 8: [50.00983428955078], 9: [50.00988006591797]}",,42,0.0
-0.9463,2,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 7, 2: 7, 3: 7, 4: 5, 5: 6, 6: 5, 7: 7, 8: 5, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [7], 2: [7], 3: [7], 4: [5], 5: [6], 6: [5], 7: [7], 8: [5], 9: [4]}",50.008,50.008,"{0: [50.00801086425781], 1: [50.008544921875], 2: [50.008426666259766], 3: [50.008544921875], 4: [50.008544921875], 5: [50.00849914550781], 6: [50.008544921875], 7: [50.008544921875], 8: [50.008583068847656], 9: [50.00849914550781]}",,58,0.0
-0.8469,3,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 7, 2: 7, 3: 5, 4: 4, 5: 7, 6: 7, 7: 4, 8: 1, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [7], 2: [7], 3: [5], 4: [4], 5: [7], 6: [7], 7: [4], 8: [1], 9: [8]}",50.007,50.007,"{0: [50.00676727294922], 1: [50.007110595703125], 2: [50.00721740722656], 3: [50.00724792480469], 4: [50.007110595703125], 5: [50.00721740722656], 6: [50.00724792480469], 7: [50.00700378417969], 8: [50.00679397583008], 9: [50.00721740722656]}",,56,0.0
-0.7614,4,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 6, 3: 5, 4: 4, 5: 3, 6: 5, 7: 4, 8: 7, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [6], 3: [5], 4: [4], 5: [3], 6: [5], 7: [4], 8: [7], 9: [5]}",50.006,50.006,"{0: [50.00568389892578], 1: [50.006080627441406], 2: [50.006080627441406], 3: [50.00598907470703], 4: [50.005958557128906], 5: [50.005897521972656], 6: [50.00611114501953], 7: [50.005958557128906], 8: [50.00605392456055], 9: [50.00605392456055]}",,51,0.0
-0.6826,5,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 2, 2: 2, 3: 3, 4: 4, 5: 4, 6: 4, 7: 5, 8: 4, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [2], 2: [2], 3: [3], 4: [4], 5: [4], 6: [4], 7: [5], 8: [4], 9: [2]}",50.005,50.005,"{0: [50.00480270385742], 1: [50.005043029785156], 2: [50.005126953125], 3: [50.005157470703125], 4: [50.00505065917969], 5: [50.005104064941406], 6: [50.00513458251953], 7: [50.00513458251953], 8: [50.00505065917969], 9: [50.005157470703125]}",,34,0.0
-0.603,6,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 6, 3: 4, 4: 5, 5: 5, 6: 4, 7: 4, 8: 4, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [6], 3: [4], 4: [5], 5: [5], 6: [4], 7: [4], 8: [4], 9: [7]}",50.004,50.004,"{0: [50.00398254394531], 1: [50.004364013671875], 2: [50.004364013671875], 3: [50.00436019897461], 4: [50.004364013671875], 5: [50.00433349609375], 6: [50.004310607910156], 7: [50.00440979003906], 8: [50.004310607910156], 9: [50.004364013671875]}",,48,0.0
-0.5084,7,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 6, 2: 8, 3: 6, 4: 3, 5: 4, 6: 4, 7: 5, 8: 6, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [6], 2: [8], 3: [6], 4: [3], 5: [4], 6: [4], 7: [5], 8: [6], 9: [4]}",50.003,50.003,"{0: [50.00328826904297], 1: [50.003448486328125], 2: [50.00360107421875], 3: [50.003578186035156], 4: [50.00347137451172], 5: [50.00340270996094], 6: [50.00360107421875], 7: [50.003578186035156], 8: [50.00355529785156], 9: [50.003662109375]}",,53,0.0
-0.4044,8,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 4, 3: 6, 4: 2, 5: 7, 6: 5, 7: 4, 8: 8, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [4], 3: [6], 4: [2], 5: [7], 6: [5], 7: [4], 8: [8], 9: [5]}",50.003,50.003,"{0: [50.00257873535156], 1: [50.00282287597656], 2: [50.0028076171875], 3: [50.0028076171875], 4: [50.002769470214844], 5: [50.002655029296875], 6: [50.002838134765625], 7: [50.002769470214844], 8: [50.002838134765625], 9: [50.00279998779297]}",,52,0.0
-0.2953,9,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 7, 2: 6, 3: 7, 4: 4, 5: 4, 6: 6, 7: 6, 8: 7, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [7], 2: [6], 3: [7], 4: [4], 5: [4], 6: [6], 7: [6], 8: [7], 9: [5]}",50.002,50.002,"{0: [50.00204086303711], 1: [50.002166748046875], 2: [50.002220153808594], 3: [50.00213623046875], 4: [50.002166748046875], 5: [50.002166748046875], 6: [50.002227783203125], 7: [50.002166748046875], 8: [50.00220489501953], 9: [50.00212860107422]}",,58,0.0
