cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
26,-2.0237,2.254,10.014,10,10,0.0,"{0: 25, 1: 18, 2: 19, 3: 13, 4: 21, 5: 21, 6: 17, 7: 22, 8: 16, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [25], 1: [18], 2: [19], 3: [13], 4: [21], 5: [21], 6: [17], 7: [22], 8: [16], 9: [24]}",10.014,"{0: [10.013601303100586], 1: [10.014717102050781], 2: [10.014701843261719], 3: [10.014762878417969], 4: [10.0146484375], 5: [10.014732360839844], 6: [10.0146484375], 7: [10.014595031738281], 8: [10.014701843261719], 9: [10.014701843261719]}",,196
27,-1.6611,2.254,10.012,10,10,0.0,"{0: 20, 1: 14, 2: 17, 3: 22, 4: 26, 5: 22, 6: 16, 7: 24, 8: 24, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [14], 2: [17], 3: [22], 4: [26], 5: [22], 6: [16], 7: [24], 8: [24], 9: [19]}",10.012,"{0: [10.011611938476562], 1: [10.012539863586426], 2: [10.012527465820312], 3: [10.012527465820312], 4: [10.012527465820312], 5: [10.0125150680542], 6: [10.012527465820312], 7: [10.0125150680542], 8: [10.0125150680542], 9: [10.0125150680542]}",,204
28,-1.2874,2.254,10.01,10,10,0.0,"{0: 17, 1: 21, 2: 15, 3: 23, 4: 18, 5: 19, 6: 15, 7: 18, 8: 15, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [21], 2: [15], 3: [23], 4: [18], 5: [19], 6: [15], 7: [18], 8: [15], 9: [15]}",10.01,"{0: [10.01000690460205], 1: [10.010732650756836], 2: [10.010787963867188], 3: [10.0107421875], 4: [10.010662078857422], 5: [10.010732650756836], 6: [10.010636329650879], 7: [10.010610580444336], 8: [10.010717391967773], 9: [10.010698318481445]}",,176
29,-0.919,2.254,10.009,10,10,0.0,"{0: 18, 1: 22, 2: 16, 3: 20, 4: 19, 5: 22, 6: 21, 7: 13, 8: 15, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [22], 2: [16], 3: [20], 4: [19], 5: [22], 6: [21], 7: [13], 8: [15], 9: [24]}",10.009,"{0: [10.008882522583008], 1: [10.009336471557617], 2: [10.009336471557617], 3: [10.0093355178833], 4: [10.009363174438477], 5: [10.009368896484375], 6: [10.009368896484375], 7: [10.009363174438477], 8: [10.009336471557617], 9: [10.009309768676758]}",,190
30,-0.5722,2.254,10.008,10,10,0.0,"{0: 22, 1: 17, 2: 17, 3: 23, 4: 17, 5: 11, 6: 16, 7: 18, 8: 19, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [17], 2: [17], 3: [23], 4: [17], 5: [11], 6: [16], 7: [18], 8: [19], 9: [19]}",10.008,"{0: [10.008150100708008], 1: [10.008415222167969], 2: [10.008426666259766], 3: [10.008426666259766], 4: [10.008398056030273], 5: [10.008430480957031], 6: [10.008466720581055], 7: [10.008462905883789], 8: [10.008469581604004], 9: [10.008462905883789]}",,179
31,-0.1863,2.254,10.008,10,10,0.0,"{0: 12, 1: 24, 2: 20, 3: 19, 4: 19, 5: 22, 6: 23, 7: 24, 8: 21, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [12], 1: [24], 2: [20], 3: [19], 4: [19], 5: [22], 6: [23], 7: [24], 8: [21], 9: [22]}",10.008,"{0: [10.00779914855957], 1: [10.00789737701416], 2: [10.007915496826172], 3: [10.007906913757324], 4: [10.007925033569336], 5: [10.00789737701416], 6: [10.007925033569336], 7: [10.007915496826172], 8: [10.007906913757324], 9: [10.00789737701416]}",,206
32,-5.5914,1.8889,10.053,10,10,0.0,"{0: 17, 1: 15, 2: 8, 3: 12, 4: 14, 5: 10, 6: 10, 7: 12, 8: 7, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [15], 2: [8], 3: [12], 4: [14], 5: [10], 6: [10], 7: [12], 8: [7], 9: [10]}",10.053,"{0: [10.053537368774414], 1: [10.054333686828613], 2: [10.054333686828613], 3: [10.054333686828613], 4: [10.054333686828613], 5: [10.053919792175293], 6: [10.054333686828613], 7: [10.054378509521484], 8: [10.054556846618652], 9: [10.054239273071289]}",,115
33,-5.2923,1.8889,10.048,10,10,0.0,"{0: 23, 1: 21, 2: 24, 3: 19, 4: 15, 5: 21, 6: 21, 7: 20, 8: 19, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [21], 2: [24], 3: [19], 4: [15], 5: [21], 6: [21], 7: [20], 8: [19], 9: [22]}",10.048,"{0: [10.04707145690918], 1: [10.050199508666992], 2: [10.049983978271484], 3: [10.050241470336914], 4: [10.050158500671387], 5: [10.049586296081543], 6: [10.050158500671387], 7: [10.050117492675781], 8: [10.050117492675781], 9: [10.050117492675781]}",,205
34,-4.9347,1.8889,10.043,10,10,0.0,"{0: 19, 1: 23, 2: 17, 3: 20, 4: 18, 5: 17, 6: 25, 7: 13, 8: 17, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [23], 2: [17], 3: [20], 4: [18], 5: [17], 6: [25], 7: [13], 8: [17], 9: [20]}",10.043,"{0: [10.041543960571289], 1: [10.044258117675781], 2: [10.044258117675781], 3: [10.044134140014648], 4: [10.044210433959961], 5: [10.044172286987305], 6: [10.044258117675781], 7: [10.043763160705566], 8: [10.044450759887695], 9: [10.044334411621094]}",,189
35,-4.5789,1.8889,10.037,10,10,0.0,"{0: 20, 1: 22, 2: 17, 3: 19, 4: 21, 5: 17, 6: 14, 7: 19, 8: 19, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [22], 2: [17], 3: [19], 4: [21], 5: [17], 6: [14], 7: [19], 8: [19], 9: [17]}",10.037,"{0: [10.036447525024414], 1: [10.038928985595703], 2: [10.038965225219727], 3: [10.038965225219727], 4: [10.038663864135742], 5: [10.038957595825195], 6: [10.03906536102295], 7: [10.03903579711914], 8: [10.038700103759766], 9: [10.03900146484375]}",,185
36,-4.195,1.8889,10.032,10,10,0.0,"{0: 24, 1: 18, 2: 21, 3: 17, 4: 19, 5: 18, 6: 17, 7: 20, 8: 22, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [24], 1: [18], 2: [21], 3: [17], 4: [19], 5: [18], 6: [17], 7: [20], 8: [22], 9: [18]}",10.032,"{0: [10.031578063964844], 1: [10.033784866333008], 2: [10.033825874328613], 3: [10.033720016479492], 4: [10.033720016479492], 5: [10.033825874328613], 6: [10.033720016479492], 7: [10.03375244140625], 8: [10.033720016479492], 9: [10.033614158630371]}",,194
37,-3.8286,1.8889,10.028,10,10,0.0,"{0: 21, 1: 18, 2: 19, 3: 18, 4: 21, 5: 23, 6: 20, 7: 18, 8: 13, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [18], 2: [19], 3: [18], 4: [21], 5: [23], 6: [20], 7: [18], 8: [13], 9: [18]}",10.028,"{0: [10.027305603027344], 1: [10.029207229614258], 2: [10.029207229614258], 3: [10.02904224395752], 4: [10.029266357421875], 5: [10.029207229614258], 6: [10.029207229614258], 7: [10.029109954833984], 8: [10.029012680053711], 9: [10.028849601745605]}",,189
38,-3.4801,1.8889,10.024,10,10,0.0,"{0: 21, 1: 19, 2: 17, 3: 21, 4: 23, 5: 22, 6: 20, 7: 19, 8: 16, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [19], 2: [17], 3: [21], 4: [23], 5: [22], 6: [20], 7: [19], 8: [16], 9: [22]}",10.024,"{0: [10.02322769165039], 1: [10.025062561035156], 2: [10.025142669677734], 3: [10.025062561035156], 4: [10.025062561035156], 5: [10.024999618530273], 6: [10.024972915649414], 7: [10.025062561035156], 8: [10.025089263916016], 9: [10.025062561035156]}",,200
39,-3.1104,1.8889,10.02,10,10,0.0,"{0: 19, 1: 19, 2: 25, 3: 19, 4: 17, 5: 21, 6: 14, 7: 19, 8: 21, 9: 23}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [19], 2: [25], 3: [19], 4: [17], 5: [21], 6: [14], 7: [19], 8: [21], 9: [23]}",10.02,"{0: [10.019552230834961], 1: [10.021149635314941], 2: [10.021261215209961], 3: [10.021125793457031], 4: [10.021332740783691], 5: [10.021261215209961], 6: [10.021198272705078], 7: [10.021261215209961], 8: [10.02120590209961], 9: [10.021261215209961]}",,197
