cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-5.6019,2.619,10.059,10,10,0.0,"{0: 15, 1: 6, 2: 8, 3: 7, 4: 12, 5: 11, 6: 14, 7: 12, 8: 6, 9: 14}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [6], 2: [8], 3: [7], 4: [12], 5: [11], 6: [14], 7: [12], 8: [6], 9: [14]}",10.059,"{0: [10.058894157409668], 1: [10.059507369995117], 2: [10.05914306640625], 3: [10.059053421020508], 4: [10.059467315673828], 5: [10.059467315673828], 6: [10.05937385559082], 7: [10.05955696105957], 8: [10.05914306640625], 9: [10.059467315673828]}",,105
1,-5.3219,2.619,10.054,10,10,0.0,"{0: 13, 1: 17, 2: 22, 3: 22, 4: 24, 5: 18, 6: 19, 7: 19, 8: 17, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [13], 1: [17], 2: [22], 3: [22], 4: [24], 5: [18], 6: [19], 7: [19], 8: [17], 9: [19]}",10.054,"{0: [10.05270004272461], 1: [10.055591583251953], 2: [10.055549621582031], 3: [10.055549621582031], 4: [10.055549621582031], 5: [10.0555419921875], 6: [10.055283546447754], 7: [10.05541706085205], 8: [10.05532455444336], 9: [10.055591583251953]}",,190
2,-4.9594,2.619,10.048,10,10,0.0,"{0: 20, 1: 18, 2: 16, 3: 18, 4: 16, 5: 19, 6: 23, 7: 20, 8: 20, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [18], 2: [16], 3: [18], 4: [16], 5: [19], 6: [23], 7: [20], 8: [20], 9: [20]}",10.048,"{0: [10.047053337097168], 1: [10.04928970336914], 2: [10.049614906311035], 3: [10.049661636352539], 4: [10.049537658691406], 5: [10.04969310760498], 6: [10.049864768981934], 7: [10.049537658691406], 8: [10.049537658691406], 9: [10.049041748046875]}",,190
3,-4.5916,2.619,10.043,10,10,0.0,"{0: 22, 1: 24, 2: 23, 3: 22, 4: 22, 5: 22, 6: 18, 7: 19, 8: 22, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [24], 2: [23], 3: [22], 4: [22], 5: [22], 6: [18], 7: [19], 8: [22], 9: [22]}",10.043,"{0: [10.041990280151367], 1: [10.044313430786133], 2: [10.044349670410156], 3: [10.044197082519531], 4: [10.044082641601562], 5: [10.044313430786133], 6: [10.044313430786133], 7: [10.044313430786133], 8: [10.044349670410156], 9: [10.044197082519531]}",,216
4,-4.2062,2.619,10.038,10,10,0.0,"{0: 15, 1: 23, 2: 23, 3: 24, 4: 13, 5: 25, 6: 15, 7: 18, 8: 18, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [23], 2: [23], 3: [24], 4: [13], 5: [25], 6: [15], 7: [18], 8: [18], 9: [21]}",10.038,"{0: [10.036611557006836], 1: [10.038999557495117], 2: [10.03896713256836], 3: [10.038860321044922], 4: [10.039031982421875], 5: [10.038860321044922], 6: [10.038999557495117], 7: [10.03889274597168], 8: [10.03896713256836], 9: [10.03896713256836]}",,195
5,-3.846,2.619,10.033,10,10,0.0,"{0: 16, 1: 18, 2: 12, 3: 12, 4: 17, 5: 21, 6: 18, 7: 19, 8: 17, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [18], 2: [12], 3: [12], 4: [17], 5: [21], 6: [18], 7: [19], 8: [17], 9: [19]}",10.033,"{0: [10.032328605651855], 1: [10.03432846069336], 2: [10.034171104431152], 3: [10.034209251403809], 4: [10.033629417419434], 5: [10.034238815307617], 6: [10.034358024597168], 7: [10.034209251403809], 8: [10.034209251403809], 9: [10.034297943115234]}",,169
6,-3.4751,2.619,10.029,10,10,0.0,"{0: 14, 1: 19, 2: 16, 3: 16, 4: 14, 5: 24, 6: 21, 7: 22, 8: 17, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [14], 1: [19], 2: [16], 3: [16], 4: [14], 5: [24], 6: [21], 7: [22], 8: [17], 9: [21]}",10.029,"{0: [10.028307914733887], 1: [10.029766082763672], 2: [10.029914855957031], 3: [10.02996826171875], 4: [10.029739379882812], 5: [10.029739379882812], 6: [10.030082702636719], 7: [10.03000259399414], 8: [10.029914855957031], 9: [10.029853820800781]}",,184
7,-3.1064,2.619,10.025,10,10,0.0,"{0: 20, 1: 27, 2: 24, 3: 18, 4: 22, 5: 23, 6: 20, 7: 22, 8: 25, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [27], 2: [24], 3: [18], 4: [22], 5: [23], 6: [20], 7: [22], 8: [25], 9: [15]}",10.025,"{0: [10.024698257446289], 1: [10.026208877563477], 2: [10.026050567626953], 3: [10.026311874389648], 4: [10.026288032531738], 5: [10.026288032531738], 6: [10.026208877563477], 7: [10.026129722595215], 8: [10.026288032531738], 9: [10.026208877563477]}",,216
8,-2.7481,2.619,10.022,10,10,0.0,"{0: 20, 1: 18, 2: 17, 3: 21, 4: 20, 5: 24, 6: 21, 7: 14, 8: 21, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [18], 2: [17], 3: [21], 4: [20], 5: [24], 6: [21], 7: [14], 8: [21], 9: [18]}",10.022,"{0: [10.021453857421875], 1: [10.02287483215332], 2: [10.022945404052734], 3: [10.022945404052734], 4: [10.022945404052734], 5: [10.02287483215332], 6: [10.022966384887695], 7: [10.022966384887695], 8: [10.022945404052734], 9: [10.022966384887695]}",,194
9,-2.3832,2.619,10.019,10,10,0.0,"{0: 20, 1: 17, 2: 19, 3: 20, 4: 18, 5: 21, 6: 19, 7: 18, 8: 16, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [17], 2: [19], 3: [20], 4: [18], 5: [21], 6: [19], 7: [18], 8: [16], 9: [21]}",10.019,"{0: [10.018646240234375], 1: [10.019975662231445], 2: [10.01999282836914], 3: [10.019957542419434], 4: [10.01999282836914], 5: [10.019834518432617], 6: [10.019957542419434], 7: [10.019957542419434], 8: [10.019957542419434], 9: [10.019957542419434]}",,189
10,-2.024,2.619,10.017,10,10,0.0,"{0: 20, 1: 18, 2: 15, 3: 18, 4: 18, 5: 15, 6: 23, 7: 17, 8: 24, 9: 14}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [18], 2: [15], 3: [18], 4: [18], 5: [15], 6: [23], 7: [17], 8: [24], 9: [14]}",10.017,"{0: [10.016316413879395], 1: [10.017417907714844], 2: [10.017462730407715], 3: [10.017364501953125], 4: [10.017326354980469], 5: [10.017364501953125], 6: [10.017433166503906], 7: [10.017356872558594], 8: [10.017364501953125], 9: [10.017311096191406]}",,182
11,-1.6697,2.619,10.015,10,10,0.0,"{0: 15, 1: 23, 2: 19, 3: 18, 4: 18, 5: 22, 6: 24, 7: 20, 8: 19, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [23], 2: [19], 3: [18], 4: [18], 5: [22], 6: [24], 7: [20], 8: [19], 9: [22]}",10.015,"{0: [10.014432907104492], 1: [10.015241622924805], 2: [10.015132904052734], 3: [10.015241622924805], 4: [10.015254020690918], 5: [10.015254020690918], 6: [10.015241622924805], 7: [10.015241622924805], 8: [10.015201568603516], 9: [10.015241622924805]}",,200
12,-1.3017,2.619,10.013,10,10,0.0,"{0: 16, 1: 19, 2: 17, 3: 20, 4: 23, 5: 16, 6: 16, 7: 21, 8: 18, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [19], 2: [17], 3: [20], 4: [23], 5: [16], 6: [16], 7: [21], 8: [18], 9: [20]}",10.013,"{0: [10.012791633605957], 1: [10.013510704040527], 2: [10.013558387756348], 3: [10.013510704040527], 4: [10.013484954833984], 5: [10.013520240783691], 6: [10.013520240783691], 7: [10.013529777526855], 8: [10.013520240783691], 9: [10.01353931427002]}",,186
13,-0.9436,2.619,10.012,10,10,0.0,"{0: 19, 1: 17, 2: 21, 3: 19, 4: 25, 5: 19, 6: 18, 7: 26, 8: 16, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [17], 2: [21], 3: [19], 4: [25], 5: [19], 6: [18], 7: [26], 8: [16], 9: [22]}",10.012,"{0: [10.011651992797852], 1: [10.012144088745117], 2: [10.012170791625977], 3: [10.012176513671875], 4: [10.012144088745117], 5: [10.012184143066406], 6: [10.012155532836914], 7: [10.012144088745117], 8: [10.011985778808594], 9: [10.012184143066406]}",,202
14,-0.5882,2.619,10.011,10,10,0.0,"{0: 13, 1: 18, 2: 20, 3: 17, 4: 24, 5: 20, 6: 22, 7: 22, 8: 18, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [13], 1: [18], 2: [20], 3: [17], 4: [24], 5: [20], 6: [22], 7: [22], 8: [18], 9: [19]}",10.011,"{0: [10.010896682739258], 1: [10.011228561401367], 2: [10.011214256286621], 3: [10.011209487915039], 4: [10.011192321777344], 5: [10.011177062988281], 6: [10.011173248291016], 7: [10.011192321777344], 8: [10.011194229125977], 9: [10.011211395263672]}",,193
15,-0.1902,2.619,10.011,10,10,0.0,"{0: 14, 1: 18, 2: 24, 3: 23, 4: 15, 5: 22, 6: 19, 7: 19, 8: 23, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [14], 1: [18], 2: [24], 3: [23], 4: [15], 5: [22], 6: [19], 7: [19], 8: [23], 9: [21]}",10.011,"{0: [10.010498046875], 1: [10.010621070861816], 2: [10.010602951049805], 3: [10.010629653930664], 4: [10.010621070861816], 5: [10.010629653930664], 6: [10.010629653930664], 7: [10.010611534118652], 8: [10.010602951049805], 9: [10.010629653930664]}",,198
16,-5.5879,2.254,10.056,10,10,0.0,"{0: 23, 1: 12, 2: 8, 3: 11, 4: 11, 5: 10, 6: 8, 7: 5, 8: 12, 9: 13}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [12], 2: [8], 3: [11], 4: [11], 5: [10], 6: [8], 7: [5], 8: [12], 9: [13]}",10.056,"{0: [10.05567455291748], 1: [10.056557655334473], 2: [10.056419372558594], 3: [10.056419372558594], 4: [10.05669116973877], 5: [10.056695938110352], 6: [10.056695938110352], 7: [10.05669116973877], 8: [10.056695938110352], 9: [10.056695938110352]}",,113
17,-5.3196,2.254,10.051,10,10,0.0,"{0: 16, 1: 20, 2: 20, 3: 22, 4: 18, 5: 20, 6: 16, 7: 22, 8: 24, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [20], 2: [20], 3: [22], 4: [18], 5: [20], 6: [16], 7: [22], 8: [24], 9: [24]}",10.051,"{0: [10.049764633178711], 1: [10.052774429321289], 2: [10.052690505981445], 3: [10.05264949798584], 4: [10.052026748657227], 5: [10.052641868591309], 6: [10.05264949798584], 7: [10.05251693725586], 8: [10.05264949798584], 9: [10.05264949798584]}",,202
18,-4.9539,2.254,10.045,10,10,0.0,"{0: 13, 1: 18, 2: 18, 3: 19, 4: 19, 5: 18, 6: 19, 7: 19, 8: 18, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [13], 1: [18], 2: [18], 3: [19], 4: [19], 5: [18], 6: [19], 7: [19], 8: [18], 9: [19]}",10.045,"{0: [10.044172286987305], 1: [10.046859741210938], 2: [10.046735763549805], 3: [10.046735763549805], 4: [10.046735763549805], 5: [10.046611785888672], 6: [10.046859741210938], 7: [10.046735763549805], 8: [10.046859741210938], 9: [10.046813011169434]}",,180
19,-4.5817,2.254,10.04,10,10,0.0,"{0: 23, 1: 19, 2: 20, 3: 17, 4: 19, 5: 20, 6: 20, 7: 19, 8: 18, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [19], 2: [20], 3: [17], 4: [19], 5: [20], 6: [20], 7: [19], 8: [18], 9: [17]}",10.04,"{0: [10.038942337036133], 1: [10.041243553161621], 2: [10.041199684143066], 3: [10.041358947753906], 4: [10.041394233703613], 5: [10.041358947753906], 6: [10.041358947753906], 7: [10.041013717651367], 8: [10.041243553161621], 9: [10.041358947753906]}",,192
20,-4.214,2.254,10.035,10,10,0.0,"{0: 15, 1: 14, 2: 20, 3: 19, 4: 18, 5: 19, 6: 19, 7: 21, 8: 19, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [14], 2: [20], 3: [19], 4: [18], 5: [19], 6: [19], 7: [21], 8: [19], 9: [18]}",10.035,"{0: [10.034024238586426], 1: [10.0357084274292], 2: [10.036235809326172], 3: [10.036277770996094], 4: [10.036310195922852], 5: [10.036130905151367], 6: [10.036277770996094], 7: [10.036277770996094], 8: [10.036343574523926], 9: [10.035991668701172]}",,182
21,-3.8365,2.254,10.03,10,10,0.0,"{0: 26, 1: 19, 2: 16, 3: 21, 4: 21, 5: 20, 6: 20, 7: 18, 8: 16, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [26], 1: [19], 2: [16], 3: [21], 4: [21], 5: [20], 6: [20], 7: [18], 8: [16], 9: [22]}",10.03,"{0: [10.029559135437012], 1: [10.0316162109375], 2: [10.0316162109375], 3: [10.031645774841309], 4: [10.0316162109375], 5: [10.031518936157227], 6: [10.031518936157227], 7: [10.0316162109375], 8: [10.031548500061035], 9: [10.031645774841309]}",,199
22,-3.4767,2.254,10.026,10,10,0.0,"{0: 17, 1: 17, 2: 18, 3: 18, 4: 17, 5: 16, 6: 15, 7: 19, 8: 19, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [17], 2: [18], 3: [18], 4: [17], 5: [16], 6: [15], 7: [19], 8: [19], 9: [15]}",10.026,"{0: [10.025588989257812], 1: [10.027338027954102], 2: [10.027283668518066], 3: [10.027019500732422], 4: [10.027372360229492], 5: [10.027425765991211], 6: [10.027310371398926], 7: [10.027283668518066], 8: [10.027399063110352], 9: [10.027108192443848]}",,171
23,-3.1277,2.254,10.023,10,10,0.0,"{0: 18, 1: 14, 2: 23, 3: 15, 4: 19, 5: 15, 6: 21, 7: 21, 8: 21, 9: 16}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [14], 2: [23], 3: [15], 4: [19], 5: [15], 6: [21], 7: [21], 8: [21], 9: [16]}",10.023,"{0: [10.02186107635498], 1: [10.023571014404297], 2: [10.023571014404297], 3: [10.023490905761719], 4: [10.023490905761719], 5: [10.0236177444458], 6: [10.023490905761719], 7: [10.02359390258789], 8: [10.023571014404297], 9: [10.0236177444458]}",,183
24,-2.7485,2.254,10.019,10,10,0.0,"{0: 22, 1: 20, 2: 18, 3: 17, 4: 19, 5: 22, 6: 19, 7: 14, 8: 22, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [20], 2: [18], 3: [17], 4: [19], 5: [22], 6: [19], 7: [14], 8: [22], 9: [17]}",10.019,"{0: [10.018775939941406], 1: [10.02022933959961], 2: [10.020220756530762], 3: [10.019876480102539], 4: [10.020158767700195], 5: [10.02017879486084], 6: [10.020158767700195], 7: [10.020249366760254], 8: [10.02017879486084], 9: [10.020270347595215]}",,190
25,-2.3897,2.254,10.016,10,10,0.0,"{0: 20, 1: 20, 2: 22, 3: 23, 4: 20, 5: 23, 6: 19, 7: 16, 8: 19, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [20], 2: [22], 3: [23], 4: [20], 5: [23], 6: [19], 7: [16], 8: [19], 9: [20]}",10.016,"{0: [10.01593017578125], 1: [10.017179489135742], 2: [10.017295837402344], 3: [10.017241477966309], 4: [10.017276763916016], 5: [10.017241477966309], 6: [10.017117500305176], 7: [10.017332077026367], 8: [10.01725959777832], 9: [10.017241477966309]}",,202
