azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-5.6767,0,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 1, 2: 2, 3: 1, 4: 4, 5: 3, 6: 3, 7: 5, 8: 2, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [1], 2: [2], 3: [1], 4: [4], 5: [3], 6: [3], 7: [5], 8: [2], 9: [3]}",10.06,10.06,"{0: [10.059917449951172], 1: [10.060053825378418], 2: [10.059640884399414], 3: [10.059686660766602], 4: [10.060054779052734], 5: [10.060100555419922], 6: [10.059915542602539], 7: [10.060054779052734], 8: [10.059640884399414], 9: [10.060054779052734]}",,28,0.0
-5.608,1,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 5, 2: 4, 3: 4, 4: 4, 5: 5, 6: 8, 7: 6, 8: 3, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [5], 2: [4], 3: [4], 4: [4], 5: [5], 6: [8], 7: [6], 8: [3], 9: [8]}",10.059,10.059,"{0: [10.058637619018555], 1: [10.058958053588867], 2: [10.059093475341797], 3: [10.058958053588867], 4: [10.059002876281738], 5: [10.058958053588867], 6: [10.058958053588867], 7: [10.058958053588867], 8: [10.05872917175293], 9: [10.058820724487305]}",,50,0.0
-5.5016,2,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 6, 3: 6, 4: 9, 5: 7, 6: 5, 7: 5, 8: 2, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [6], 3: [6], 4: [9], 5: [7], 6: [5], 7: [5], 8: [2], 9: [7]}",10.057,10.057,"{0: [10.056486129760742], 1: [10.056796073913574], 2: [10.057289123535156], 3: [10.057154655456543], 4: [10.057332992553711], 5: [10.057154655456543], 6: [10.057289123535156], 7: [10.057154655456543], 8: [10.057287216186523], 9: [10.057154655456543]}",,58,0.0
-5.4092,3,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 2, 1: 4, 2: 5, 3: 3, 4: 5, 5: 2, 6: 4, 7: 4, 8: 3, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [2], 1: [4], 2: [5], 3: [3], 4: [5], 5: [2], 6: [4], 7: [4], 8: [3], 9: [2]}",10.055,10.055,"{0: [10.055253028869629], 1: [10.055340766906738], 2: [10.055648803710938], 3: [10.055559158325195], 4: [10.055604934692383], 5: [10.055472373962402], 6: [10.055472373962402], 7: [10.055472373962402], 8: [10.055122375488281], 9: [10.055559158325195]}",,34,0.0
-5.3252,4,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 2, 2: 8, 3: 6, 4: 5, 5: 5, 6: 5, 7: 6, 8: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [2], 2: [8], 3: [6], 4: [5], 5: [5], 6: [5], 7: [6], 8: [5], 9: [6]}",10.054,10.054,"{0: [10.053693771362305], 1: [10.053735733032227], 2: [10.054210662841797], 3: [10.054210662841797], 4: [10.054210662841797], 5: [10.054253578186035], 6: [10.054210662841797], 7: [10.054080963134766], 8: [10.054253578186035], 9: [10.054210662841797]}",,51,0.0
-5.234,5,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 2, 1: 5, 2: 3, 3: 8, 4: 7, 5: 7, 6: 6, 7: 4, 8: 7, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [2], 1: [5], 2: [3], 3: [8], 4: [7], 5: [7], 6: [6], 7: [4], 8: [7], 9: [6]}",10.052,10.052,"{0: [10.052035331726074], 1: [10.052499771118164], 2: [10.052668571472168], 3: [10.052756309509277], 4: [10.052627563476562], 5: [10.052669525146484], 6: [10.052756309509277], 7: [10.052840232849121], 8: [10.052756309509277], 9: [10.0527982711792]}",,55,0.0
-5.1326,6,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 3, 2: 4, 3: 5, 4: 5, 5: 3, 6: 6, 7: 4, 8: 4, 9: 1}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [3], 2: [4], 3: [5], 4: [5], 5: [3], 6: [6], 7: [4], 8: [4], 9: [1]}",10.051,10.051,"{0: [10.050658226013184], 1: [10.051156997680664], 2: [10.051156997680664], 3: [10.051031112670898], 4: [10.051156997680664], 5: [10.050698280334473], 6: [10.05119800567627], 7: [10.051031112670898], 8: [10.05119800567627], 9: [10.051446914672852]}",,41,0.0
-5.0502,7,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 5, 2: 7, 3: 5, 4: 3, 5: 8, 6: 6, 7: 6, 8: 3, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [5], 2: [7], 3: [5], 4: [3], 5: [8], 6: [6], 7: [6], 8: [3], 9: [4]}",10.049,10.049,"{0: [10.049020767211914], 1: [10.049793243408203], 2: [10.049711227416992], 3: [10.049915313720703], 4: [10.049752235412598], 5: [10.04979419708252], 6: [10.04979419708252], 7: [10.04979419708252], 8: [10.04966926574707], 9: [10.049875259399414]}",,51,0.0
-4.9502,8,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 7, 2: 4, 3: 4, 4: 5, 5: 5, 6: 7, 7: 6, 8: 8, 9: 9}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [7], 2: [4], 3: [4], 4: [5], 5: [5], 6: [7], 7: [6], 8: [8], 9: [9]}",10.048,10.048,"{0: [10.047813415527344], 1: [10.048334121704102], 2: [10.048295021057129], 3: [10.048295021057129], 4: [10.048295021057129], 5: [10.048334121704102], 6: [10.048295021057129], 7: [10.048213958740234], 8: [10.048295021057129], 9: [10.048295021057129]}",,58,0.0
-4.8423,9,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 5, 2: 4, 3: 5, 4: 5, 5: 4, 6: 7, 7: 6, 8: 7, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [5], 2: [4], 3: [5], 4: [5], 5: [4], 6: [7], 7: [6], 8: [7], 9: [7]}",10.046,10.046,"{0: [10.046195983886719], 1: [10.046706199645996], 2: [10.046235084533691], 3: [10.046745300292969], 4: [10.0465087890625], 5: [10.046470642089844], 6: [10.046706199645996], 7: [10.046706199645996], 8: [10.046706199645996], 9: [10.046627044677734]}",,57,0.0
-4.7407,10,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 5, 3: 5, 4: 7, 5: 6, 6: 4, 7: 6, 8: 6, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [5], 3: [5], 4: [7], 5: [6], 6: [4], 7: [6], 8: [6], 9: [5]}",10.045,10.045,"{0: [10.044615745544434], 1: [10.045267105102539], 2: [10.045190811157227], 3: [10.045190811157227], 4: [10.045074462890625], 5: [10.045190811157227], 6: [10.045074462890625], 7: [10.045190811157227], 8: [10.045228958129883], 9: [10.045190811157227]}",,53,0.0
-4.6518,11,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 4, 3: 4, 4: 5, 5: 5, 6: 2, 7: 3, 8: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [4], 3: [4], 4: [5], 5: [5], 6: [2], 7: [3], 8: [5], 9: [6]}",10.044,10.044,"{0: [10.04344367980957], 1: [10.04385757446289], 2: [10.04351806640625], 3: [10.04385757446289], 4: [10.043744087219238], 5: [10.043744087219238], 6: [10.04359245300293], 7: [10.04385757446289], 8: [10.04385757446289], 9: [10.04393196105957]}",,45,0.0
-4.5714,12,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 6, 3: 4, 4: 2, 5: 4, 6: 5, 7: 3, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [6], 3: [4], 4: [2], 5: [4], 6: [5], 7: [3], 8: [4], 9: [4]}",10.042,10.042,"{0: [10.042255401611328], 1: [10.042512893676758], 2: [10.04269790649414], 3: [10.042623519897461], 4: [10.042623519897461], 5: [10.042476654052734], 6: [10.042736053466797], 7: [10.042476654052734], 8: [10.04269790649414], 9: [10.04269790649414]}",,41,0.0
-4.4874,13,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 6, 2: 6, 3: 7, 4: 6, 5: 4, 6: 5, 7: 4, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [6], 2: [6], 3: [7], 4: [6], 5: [4], 6: [5], 7: [4], 8: [5], 9: [5]}",10.041,10.041,"{0: [10.041053771972656], 1: [10.04159927368164], 2: [10.041488647460938], 3: [10.04159927368164], 4: [10.041524887084961], 5: [10.041742324829102], 6: [10.041633605957031], 7: [10.041488647460938], 8: [10.041414260864258], 9: [10.04137897491455]}",,55,0.0
