cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-0.4646,0.0635,100.003,10,10,0.0,"{0: 13, 1: 8, 2: 12, 3: 12, 4: 8, 5: 12, 6: 10, 7: 16, 8: 14, 9: 9}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [13], 1: [8], 2: [12], 3: [12], 4: [8], 5: [12], 6: [10], 7: [16], 8: [14], 9: [9]}",100.003,"{0: [100.0036849975586], 1: [100.00416564941406], 2: [100.00436401367188], 3: [100.00430297851562], 4: [100.00439453125], 5: [100.00416564941406], 6: [100.00436401367188], 7: [100.00430297851562], 8: [100.00430297851562], 9: [100.00433349609375]}",,114
1,-0.1368,0.0635,100.352,10,10,0.0,"{0: 40, 1: 29, 2: 38, 3: 39, 4: 37, 5: 26, 6: 48, 7: 40, 8: 35, 9: 29}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [40], 1: [29], 2: [38], 3: [39], 4: [37], 5: [26], 6: [48], 7: [40], 8: [35], 9: [29]}",100.352,"{0: [101.26644897460938], 1: [100.01449584960938], 2: [100.06216430664062], 3: [100.06216430664062], 4: [100.06217193603516], 5: [100.0145263671875], 6: [100.06216430664062], 7: [100.06216430664062], 8: [100.06214904785156], 9: [100.01451873779297]}",,361
2,0.1834,0.0635,101.434,10,10,0.0,"{0: 11, 1: 16, 2: 20, 3: 18, 4: 23, 5: 21, 6: 20, 7: 13, 8: 23, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [11], 1: [16], 2: [20], 3: [18], 4: [23], 5: [21], 6: [20], 7: [13], 8: [23], 9: [15]}",101.434,"{0: [101.46766662597656], 1: [101.4532470703125], 2: [101.4532470703125], 3: [101.46754455566406], 4: [101.45283508300781], 5: [101.46754455566406], 6: [101.46754455566406], 7: [101.45283508300781], 8: [101.46746063232422], 9: [101.46755981445312]}",,180
