azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-0.5476,0,0.0635,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]","{0: 5, 1: 3, 2: 2, 3: 3, 4: 2, 5: 2, 6: 1, 7: 3, 9: 1}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 9: 1}","{0: [5], 1: [3], 2: [2], 3: [3], 4: [2], 5: [2], 6: [1], 7: [3], 9: [1]}",100.005,100.005,"{0: [100.00468444824219], 1: [100.00489807128906], 2: [100.00493621826172], 3: [100.00485229492188], 4: [100.00471496582031], 5: [100.00485229492188], 6: [100.00444793701172], 7: [100.00471496582031], 9: [100.00462341308594]}",,22,0.0
-0.4802,1,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 3, 3: 4, 4: 1, 5: 6, 6: 7, 7: 5, 8: 4, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [3], 3: [4], 4: [1], 5: [6], 6: [7], 7: [5], 8: [4], 9: [6]}",100.004,100.004,"{0: [100.00337982177734], 1: [100.0040054321289], 2: [100.00384521484375], 3: [100.00396728515625], 4: [100.00428009033203], 5: [100.0040054321289], 6: [100.00396728515625], 7: [100.00396728515625], 8: [100.00396728515625], 9: [100.00396728515625]}",,48,0.0
-0.3958,2,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 2, 2: 5, 3: 4, 4: 5, 5: 5, 6: 5, 7: 3, 8: 4, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [2], 2: [5], 3: [4], 4: [5], 5: [5], 6: [5], 7: [3], 8: [4], 9: [5]}",100.002,100.002,"{0: [100.0022964477539], 1: [100.00228881835938], 2: [100.00273132324219], 3: [100.00273132324219], 4: [100.00273132324219], 5: [100.0027084350586], 6: [100.0027084350586], 7: [100.00253295898438], 8: [100.00273132324219], 9: [100.00260162353516]}",,42,0.0
-0.2979,3,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 5, 3: 5, 4: 4, 5: 2, 6: 4, 7: 6, 8: 8, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [5], 3: [5], 4: [4], 5: [2], 6: [4], 7: [6], 8: [8], 9: [3]}",100.001,100.001,"{0: [100.00141906738281], 1: [100.00162506103516], 2: [100.00172424316406], 3: [100.00164794921875], 4: [100.00146484375], 5: [100.0013656616211], 6: [100.001708984375], 7: [100.00154113769531], 8: [100.001708984375], 9: [100.0015640258789]}",,45,0.0
-0.1965,4,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 9, 1: 9, 2: 13, 3: 9, 4: 10, 5: 11, 6: 11, 7: 2, 8: 8, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [9], 1: [9], 2: [13], 3: [9], 4: [10], 5: [11], 6: [11], 7: [2], 8: [8], 9: [7]}",100.392,100.392,"{0: [100.01485443115234], 1: [100.01499938964844], 2: [100.01506042480469], 3: [100.01499938964844], 4: [100.01499938964844], 5: [100.06745910644531], 6: [100.01499938964844], 7: [100.00093078613281], 8: [100.0675048828125], 9: [100.06745910644531]}",,89,0.0
-0.1071,5,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 21, 1: 24, 2: 18, 3: 9, 4: 9, 5: 21, 6: 15, 7: 9, 8: 6, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [24], 2: [18], 3: [9], 4: [9], 5: [21], 6: [15], 7: [9], 8: [6], 9: [18]}",100.581,100.581,"{0: [100.06704711914062], 1: [100.06709289550781], 2: [100.0671615600586], 3: [100.0671615600586], 4: [100.06708526611328], 5: [100.06709289550781], 6: [100.06709289550781], 7: [100.06710052490234], 8: [100.06712341308594], 9: [100.06709289550781]}",,150,0.0
-0.0219,6,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 11, 1: 15, 2: 15, 3: 12, 4: 4, 5: 13, 6: 10, 7: 7, 8: 8, 9: 11}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [11], 1: [15], 2: [15], 3: [12], 4: [4], 5: [13], 6: [10], 7: [7], 8: [8], 9: [11]}",100.736,100.736,"{0: [101.76998901367188], 1: [100.06561279296875], 2: [100.06561279296875], 3: [100.06561279296875], 4: [100.0670166015625], 5: [100.0670166015625], 6: [100.0670166015625], 7: [100.06564331054688], 8: [100.06561279296875], 9: [100.06561279296875]}",,106,0.0
0.0783,7,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 5, 3: 5, 4: 7, 5: 2, 6: 7, 7: 5, 8: 7, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [5], 3: [5], 4: [7], 5: [2], 6: [7], 7: [5], 8: [7], 9: [6]}",101.967,101.967,"{0: [101.96688842773438], 1: [101.96672058105469], 2: [101.96672821044922], 3: [101.96672821044922], 4: [101.96678161621094], 5: [101.96673583984375], 6: [101.96678161621094], 7: [101.96678161621094], 8: [101.96678161621094], 9: [101.96678161621094]}",,52,0.0
0.1719,8,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 4, 3: 5, 4: 3, 5: 5, 6: 2, 7: 2, 8: 6, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [4], 3: [5], 4: [3], 5: [5], 6: [2], 7: [2], 8: [6], 9: [2]}",101.967,101.967,"{0: [101.9674072265625], 1: [101.96720123291016], 2: [101.96717834472656], 3: [101.96719360351562], 4: [101.96720886230469], 5: [101.96715545654297], 6: [101.967041015625], 7: [101.967041015625], 8: [101.96714782714844], 9: [101.96702575683594]}",,38,0.0
0.2617,9,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 8, 2: 4, 3: 2, 4: 5, 5: 5, 6: 6, 7: 3, 8: 3, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [8], 2: [4], 3: [2], 4: [5], 5: [5], 6: [6], 7: [3], 8: [3], 9: [5]}",101.968,101.968,"{0: [101.96810913085938], 1: [101.96806335449219], 2: [101.96769714355469], 3: [101.96784973144531], 4: [101.96761322021484], 5: [101.96768188476562], 6: [101.96774291992188], 7: [101.96774291992188], 8: [101.96780395507812], 9: [101.96774291992188]}",,48,0.0
