azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-1.1127,0,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 2, 2: 3, 3: 1, 4: 4, 5: 4, 6: 3, 7: 3, 8: 2, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [2], 2: [3], 3: [1], 4: [4], 5: [4], 6: [3], 7: [3], 8: [2], 9: [2]}",50.011,50.011,"{0: [50.010921478271484], 1: [50.0110969543457], 2: [50.01078414916992], 3: [50.01069259643555], 4: [50.011051177978516], 5: [50.011051177978516], 6: [50.011051177978516], 7: [50.0110969543457], 8: [50.011051177978516], 9: [50.0110969543457]}",,29,0.0
-1.0431,1,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 5, 2: 5, 3: 2, 4: 7, 5: 5, 6: 5, 7: 5, 8: 6, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [5], 2: [5], 3: [2], 4: [7], 5: [5], 6: [5], 7: [5], 8: [6], 9: [4]}",50.01,50.01,"{0: [50.009544372558594], 1: [50.01008605957031], 2: [50.009918212890625], 3: [50.010215759277344], 4: [50.010047912597656], 5: [50.00983428955078], 6: [50.009918212890625], 7: [50.010047912597656], 8: [50.01008605957031], 9: [50.00996017456055]}",,47,0.0
-0.9548,2,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 2, 2: 6, 3: 3, 4: 4, 5: 3, 6: 6, 7: 5, 8: 4, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [2], 2: [6], 3: [3], 4: [4], 5: [3], 6: [6], 7: [5], 8: [4], 9: [6]}",50.008,50.008,"{0: [50.00812530517578], 1: [50.00885009765625], 2: [50.00873565673828], 3: [50.008419036865234], 4: [50.00861358642578], 5: [50.00873565673828], 6: [50.00873565673828], 7: [50.00861358642578], 8: [50.00861358642578], 9: [50.00873565673828]}",,45,0.0
-0.8664,3,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 3, 3: 3, 4: 4, 5: 6, 6: 6, 7: 6, 8: 8, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [3], 3: [3], 4: [4], 5: [6], 6: [6], 7: [6], 8: [8], 9: [5]}",50.007,50.007,"{0: [50.00697326660156], 1: [50.00739288330078], 2: [50.007354736328125], 3: [50.00749969482422], 4: [50.00760269165039], 5: [50.007469177246094], 6: [50.007568359375], 7: [50.007469177246094], 8: [50.007354736328125], 9: [50.00714111328125]}",,51,0.0
-0.7516,4,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 6, 2: 5, 3: 5, 4: 5, 5: 5, 6: 5, 7: 5, 8: 3, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [6], 2: [5], 3: [5], 4: [5], 5: [5], 6: [5], 7: [5], 8: [3], 9: [6]}",50.006,50.006,"{0: [50.00556564331055], 1: [50.00617980957031], 2: [50.00614929199219], 3: [50.00612258911133], 4: [50.00614929199219], 5: [50.006080627441406], 6: [50.00577163696289], 7: [50.00593185424805], 8: [50.005706787109375], 9: [50.00593185424805]}",,52,0.0
-0.6674,5,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 6, 2: 2, 3: 2, 4: 2, 5: 5, 6: 5, 7: 1, 8: 3, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [6], 2: [2], 3: [2], 4: [2], 5: [5], 6: [5], 7: [1], 8: [3], 9: [4]}",50.005,50.005,"{0: [50.00469970703125], 1: [50.00502014160156], 2: [50.00461196899414], 3: [50.004798889160156], 4: [50.00498962402344], 5: [50.00502014160156], 6: [50.00505065917969], 7: [50.004852294921875], 8: [50.00495910644531], 9: [50.004852294921875]}",,34,0.0
-0.5781,6,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 7, 2: 7, 3: 6, 4: 5, 5: 4, 6: 5, 7: 5, 8: 6, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [7], 2: [7], 3: [6], 4: [5], 5: [4], 6: [5], 7: [5], 8: [6], 9: [7]}",50.004,50.004,"{0: [50.003929138183594], 1: [50.004146575927734], 2: [50.004146575927734], 3: [50.00422286987305], 4: [50.004241943359375], 5: [50.00395202636719], 6: [50.00407409667969], 7: [50.00422286987305], 8: [50.004146575927734], 9: [50.00422286987305]}",,56,0.0
-0.4829,7,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 4, 2: 5, 3: 7, 4: 7, 5: 6, 6: 5, 7: 5, 8: 3, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [4], 2: [5], 3: [7], 4: [7], 5: [6], 6: [5], 7: [5], 8: [3], 9: [5]}",50.003,50.003,"{0: [50.00305938720703], 1: [50.00328826904297], 2: [50.003387451171875], 3: [50.00334930419922], 4: [50.00328826904297], 5: [50.00336837768555], 6: [50.00328826904297], 7: [50.00336837768555], 8: [50.00328826904297], 9: [50.00340270996094]}",,50,0.0
-0.3823,8,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 5, 2: 5, 3: 3, 4: 7, 5: 4, 6: 4, 7: 5, 8: 3, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [5], 2: [5], 3: [3], 4: [7], 5: [4], 6: [4], 7: [5], 8: [3], 9: [5]}",50.003,50.003,"{0: [50.00245666503906], 1: [50.00263977050781], 2: [50.00263977050781], 3: [50.002689361572266], 4: [50.002689361572266], 5: [50.002655029296875], 6: [50.00263977050781], 7: [50.002689361572266], 8: [50.00263977050781], 9: [50.00263977050781]}",,48,0.0
-0.2884,9,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 8, 2: 3, 3: 5, 4: 4, 5: 6, 6: 5, 7: 5, 8: 8, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [8], 2: [3], 3: [5], 4: [4], 5: [6], 6: [5], 7: [5], 8: [8], 9: [5]}",50.002,50.002,"{0: [50.00198745727539], 1: [50.00217819213867], 2: [50.002159118652344], 3: [50.00213623046875], 4: [50.00213623046875], 5: [50.002166748046875], 6: [50.00217819213867], 7: [50.00212860107422], 8: [50.002166748046875], 9: [50.00201416015625]}",,56,0.0
-0.1955,10,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 5, 3: 6, 4: 7, 5: 3, 6: 7, 7: 5, 8: 2, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [5], 3: [6], 4: [7], 5: [3], 6: [7], 7: [5], 8: [2], 9: [6]}",50.002,50.002,"{0: [50.00165939331055], 1: [50.00178146362305], 2: [50.00175476074219], 3: [50.00178909301758], 4: [50.00175476074219], 5: [50.00178909301758], 6: [50.00178146362305], 7: [50.00178146362305], 8: [50.00163650512695], 9: [50.00179672241211]}",,50,0.0
-0.0952,11,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 7, 2: 5, 3: 7, 4: 7, 5: 6, 6: 7, 7: 6, 8: 7, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [7], 2: [5], 3: [7], 4: [7], 5: [6], 6: [7], 7: [6], 8: [7], 9: [5]}",50.001,50.001,"{0: [50.00145721435547], 1: [50.00152587890625], 2: [50.001495361328125], 3: [50.00151062011719], 4: [50.00152587890625], 5: [50.00153350830078], 6: [50.00152587890625], 7: [50.00152587890625], 8: [50.001529693603516], 9: [50.001502990722656]}",,62,0.0
-0.0185,12,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 1, 1: 2, 2: 2, 3: 2, 4: 1, 5: 4, 6: 3, 7: 1, 8: 3, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [1], 1: [2], 2: [2], 3: [2], 4: [1], 5: [4], 6: [3], 7: [1], 8: [3], 9: [2]}",50.001,50.001,"{0: [50.001399993896484], 1: [50.00140380859375], 2: [50.00140380859375], 3: [50.00140380859375], 4: [50.001407623291016], 5: [50.00141143798828], 6: [50.00141143798828], 7: [50.00141525268555], 8: [50.001399993896484], 9: [50.00140380859375]}",,21,0.0
