cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-1.0286,0.4286,50.009,10,10,0.0,"{0: 19, 1: 9, 2: 13, 3: 5, 4: 13, 5: 11, 6: 12, 7: 11, 8: 11, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [9], 2: [13], 3: [5], 4: [13], 5: [11], 6: [12], 7: [11], 8: [11], 9: [10]}",50.009,"{0: [50.00999069213867], 1: [50.01051712036133], 2: [50.01021194458008], 3: [50.01011657714844], 4: [50.010555267333984], 5: [50.010555267333984], 6: [50.01051712036133], 7: [50.01047897338867], 8: [50.01047897338867], 9: [50.01051712036133]}",,114
1,-0.7446,0.4286,50.006,10,10,0.0,"{0: 18, 1: 21, 2: 15, 3: 14, 4: 17, 5: 18, 6: 20, 7: 17, 8: 19, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [21], 2: [15], 3: [14], 4: [17], 5: [18], 6: [20], 7: [17], 8: [19], 9: [21]}",50.006,"{0: [50.00499725341797], 1: [50.0067138671875], 2: [50.00693130493164], 3: [50.007041931152344], 4: [50.00706481933594], 5: [50.0069580078125], 6: [50.00706481933594], 7: [50.007041931152344], 8: [50.00693130493164], 9: [50.00706481933594]}",,180
2,-0.3665,0.4286,50.003,10,10,0.0,"{0: 24, 1: 22, 2: 18, 3: 22, 4: 23, 5: 21, 6: 20, 7: 20, 8: 16, 9: 23}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [24], 1: [22], 2: [18], 3: [22], 4: [23], 5: [21], 6: [20], 7: [20], 8: [16], 9: [23]}",50.003,"{0: [50.00226593017578], 1: [50.003318786621094], 2: [50.00325012207031], 3: [50.003326416015625], 4: [50.0031852722168], 5: [50.003326416015625], 6: [50.003265380859375], 7: [50.0031852722168], 8: [50.00336456298828], 9: [50.003318786621094]}",,209
3,-0.0962,0.4286,50.001,10,10,0.0,"{0: 1, 1: 11, 2: 10, 3: 11, 4: 11, 5: 11, 6: 14, 7: 9, 8: 12, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [1], 1: [11], 2: [10], 3: [11], 4: [11], 5: [11], 6: [14], 7: [9], 8: [12], 9: [8]}",50.001,"{0: [50.001399993896484], 1: [50.00160217285156], 2: [50.00160217285156], 3: [50.001583099365234], 4: [50.0015869140625], 5: [50.00156021118164], 6: [50.00160217285156], 7: [50.00160598754883], 8: [50.001583099365234], 9: [50.001583099365234]}",,98
4,-1.0365,0.0635,50.008,10,10,0.0,"{0: 17, 1: 9, 2: 10, 3: 14, 4: 11, 5: 12, 6: 5, 7: 6, 8: 9, 9: 9}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [9], 2: [10], 3: [14], 4: [11], 5: [12], 6: [5], 7: [6], 8: [9], 9: [9]}",50.008,"{0: [50.00862503051758], 1: [50.00901794433594], 2: [50.009151458740234], 3: [50.009151458740234], 4: [50.00901794433594], 5: [50.00926971435547], 6: [50.009132385253906], 7: [50.00873565673828], 8: [50.008880615234375], 9: [50.00891876220703]}",,102
5,-0.7709,0.0635,50.005,10,10,0.0,"{0: 16, 1: 21, 2: 17, 3: 17, 4: 15, 5: 21, 6: 23, 7: 21, 8: 16, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [21], 2: [17], 3: [17], 4: [15], 5: [21], 6: [23], 7: [21], 8: [16], 9: [22]}",50.005,"{0: [50.00385284423828], 1: [50.005523681640625], 2: [50.00575256347656], 3: [50.00572204589844], 4: [50.00572204589844], 5: [50.005836486816406], 6: [50.005859375], 7: [50.005836486816406], 8: [50.005859375], 9: [50.005859375]}",,189
6,-0.4082,0.0635,50.001,10,10,0.0,"{0: 15, 1: 21, 2: 18, 3: 17, 4: 19, 5: 15, 6: 18, 7: 19, 8: 17, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [21], 2: [18], 3: [17], 4: [19], 5: [15], 6: [18], 7: [19], 8: [17], 9: [24]}",50.001,"{0: [50.00105667114258], 1: [50.00208282470703], 2: [50.00214385986328], 3: [50.002017974853516], 4: [50.00213623046875], 5: [50.0020637512207], 6: [50.00199890136719], 7: [50.0020637512207], 8: [50.00215530395508], 9: [50.0020637512207]}",,183
7,-0.0777,0.0635,51.002,10,10,0.0,"{0: 38, 1: 35, 2: 24, 3: 48, 4: 45, 5: 46, 6: 43, 7: 42, 8: 45, 9: 29}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [38], 1: [35], 2: [24], 3: [48], 4: [45], 5: [46], 6: [43], 7: [42], 8: [45], 9: [29]}",51.002,"{0: [52.345314025878906], 1: [50.06702423095703], 2: [50.06703186035156], 3: [50.06702423095703], 4: [50.06702423095703], 5: [50.06702423095703], 6: [50.06702423095703], 7: [50.06702423095703], 8: [50.06702423095703], 9: [50.06703186035156]}",,395
8,0.3003,0.0635,52.413,10,10,0.0,"{0: 17, 1: 17, 2: 21, 3: 18, 4: 18, 5: 23, 6: 17, 7: 25, 8: 25, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [17], 2: [21], 3: [18], 4: [18], 5: [23], 6: [17], 7: [25], 8: [25], 9: [18]}",52.413,"{0: [52.41431427001953], 1: [52.412986755371094], 2: [52.412986755371094], 3: [52.41304016113281], 4: [52.41304016113281], 5: [52.41292190551758], 6: [52.41276550292969], 7: [52.41304016113281], 8: [52.413047790527344], 9: [52.41304016113281]}",,199
9,0.6907,0.0635,52.416,10,10,0.0,"{0: 14, 1: 18, 2: 24, 3: 26, 4: 17, 5: 17, 6: 16, 7: 21, 8: 20, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [14], 1: [18], 2: [24], 3: [26], 4: [17], 5: [17], 6: [16], 7: [21], 8: [20], 9: [21]}",52.416,"{0: [52.417083740234375], 1: [52.41681671142578], 2: [52.416786193847656], 3: [52.41681671142578], 4: [52.416038513183594], 5: [52.41686248779297], 6: [52.416748046875], 7: [52.41681671142578], 8: [52.41681671142578], 9: [52.41670227050781]}",,194
10,-1.0406,-0.3016,50.009,10,10,0.0,"{0: 16, 1: 11, 2: 13, 3: 10, 4: 8, 5: 15, 6: 8, 7: 6, 8: 7, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [11], 2: [13], 3: [10], 4: [8], 5: [15], 6: [8], 7: [6], 8: [7], 9: [10]}",50.009,"{0: [50.00914764404297], 1: [50.00958251953125], 2: [50.00967788696289], 3: [50.009849548339844], 4: [50.0098876953125], 5: [50.00981140136719], 6: [50.0101318359375], 7: [50.009849548339844], 8: [50.00965881347656], 9: [50.00981140136719]}",,104
