cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-0.468,0.0635,100.003,10,10,0.0,"{0: 16, 1: 11, 2: 8, 3: 7, 4: 6, 5: 9, 6: 11, 7: 10, 8: 12, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [11], 2: [8], 3: [7], 4: [6], 5: [9], 6: [11], 7: [10], 8: [12], 9: [8]}",100.003,"{0: [100.00393676757812], 1: [100.00436401367188], 2: [100.00396728515625], 3: [100.00439453125], 4: [100.00373840332031], 5: [100.00439453125], 6: [100.00439453125], 7: [100.00439453125], 8: [100.00436401367188], 9: [100.00436401367188]}",,98
1,-0.1552,0.0635,100.2,10,10,0.0,"{0: 43, 1: 41, 2: 32, 3: 35, 4: 37, 5: 36, 6: 41, 7: 33, 8: 41, 9: 40}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [43], 1: [41], 2: [32], 3: [35], 4: [37], 5: [36], 6: [41], 7: [33], 8: [41], 9: [40]}",100.2,"{0: [100.78471374511719], 1: [100.01435852050781], 2: [100.01441955566406], 3: [100.01439666748047], 4: [100.01435852050781], 5: [100.04647827148438], 6: [100.06195068359375], 7: [100.01435089111328], 8: [100.01435852050781], 9: [100.06194305419922]}",,379
2,0.1553,0.0635,100.836,10,10,0.0,"{0: 14, 1: 23, 2: 25, 3: 16, 4: 23, 5: 20, 6: 12, 7: 22, 8: 25, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [14], 1: [23], 2: [25], 3: [16], 4: [23], 5: [20], 6: [12], 7: [22], 8: [25], 9: [24]}",100.836,"{0: [100.90670776367188], 1: [100.9532470703125], 2: [100.9532470703125], 3: [100.9532470703125], 4: [100.95303344726562], 5: [100.9532470703125], 6: [100.95314025878906], 7: [100.9532470703125], 8: [100.90680694580078], 9: [100.9532470703125]}",,204
