azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-5.6734,0,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 3, 2: 4, 3: 4, 4: 3, 5: 3, 6: 3, 7: 3, 8: 3, 9: 1}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [3], 2: [4], 3: [4], 4: [3], 5: [3], 6: [3], 7: [3], 8: [3], 9: [1]}",10.06,10.06,"{0: [10.059779167175293], 1: [10.059915542602539], 2: [10.060100555419922], 3: [10.059869766235352], 4: [10.059778213500977], 5: [10.059961318969727], 6: [10.059732437133789], 7: [10.059732437133789], 8: [10.060054779052734], 9: [10.0602388381958]}",,31,0.0
-5.6031,1,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 5, 2: 4, 3: 5, 4: 5, 5: 5, 6: 3, 7: 4, 8: 1, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [5], 2: [4], 3: [5], 4: [5], 5: [5], 6: [3], 7: [4], 8: [1], 9: [6]}",10.059,10.059,"{0: [10.058277130126953], 1: [10.058910369873047], 2: [10.05872917175293], 3: [10.058865547180176], 4: [10.058865547180176], 5: [10.058910369873047], 6: [10.059045791625977], 7: [10.058865547180176], 8: [10.058955192565918], 9: [10.058865547180176]}",,45,0.0
-5.5171,2,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 6, 3: 5, 4: 4, 5: 5, 6: 4, 7: 5, 8: 5, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [6], 3: [5], 4: [4], 5: [5], 6: [4], 7: [5], 8: [5], 9: [5]}",10.057,10.057,"{0: [10.056842803955078], 1: [10.057377815246582], 2: [10.057512283325195], 3: [10.057466506958008], 4: [10.057243347167969], 5: [10.057512283325195], 6: [10.057466506958008], 7: [10.056974411010742], 8: [10.057466506958008], 9: [10.057332038879395]}",,47,0.0
-5.434,3,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 5, 2: 3, 3: 4, 4: 2, 5: 3, 6: 5, 7: 5, 8: 2, 9: 2}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [5], 2: [3], 3: [4], 4: [2], 5: [3], 6: [5], 7: [5], 8: [2], 9: [2]}",10.056,10.056,"{0: [10.055472373962402], 1: [10.055999755859375], 2: [10.05604362487793], 3: [10.05604362487793], 4: [10.05569076538086], 5: [10.055867195129395], 6: [10.055999755859375], 7: [10.05573558807373], 8: [10.055339813232422], 9: [10.055999755859375]}",,34,0.0
-5.3527,4,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 6, 3: 3, 4: 2, 5: 2, 6: 4, 7: 4, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [6], 3: [3], 4: [2], 5: [2], 6: [4], 7: [4], 8: [4], 9: [4]}",10.054,10.054,"{0: [10.054039001464844], 1: [10.05459976196289], 2: [10.054688453674316], 3: [10.054861068725586], 4: [10.054426193237305], 5: [10.053951263427734], 6: [10.054296493530273], 7: [10.054817199707031], 8: [10.054861068725586], 9: [10.054774284362793]}",,40,0.0
-5.2559,5,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 3, 3: 3, 4: 6, 5: 5, 6: 4, 7: 5, 8: 6, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [3], 3: [3], 4: [6], 5: [5], 6: [4], 7: [5], 8: [6], 9: [6]}",10.053,10.053,"{0: [10.052499771118164], 1: [10.053010940551758], 2: [10.05262565612793], 3: [10.053180694580078], 4: [10.053138732910156], 5: [10.05305290222168], 6: [10.053180694580078], 7: [10.05322265625], 8: [10.053138732910156], 9: [10.053138732910156]}",,49,0.0
-5.1664,6,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 7, 3: 3, 4: 5, 5: 3, 6: 3, 7: 6, 8: 5, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [7], 3: [3], 4: [5], 5: [3], 6: [3], 7: [6], 8: [5], 9: [4]}",10.051,10.051,"{0: [10.051156997680664], 1: [10.051447868347168], 2: [10.051658630371094], 3: [10.051031112670898], 4: [10.051658630371094], 5: [10.051530838012695], 6: [10.051406860351562], 7: [10.051530838012695], 8: [10.051741600036621], 9: [10.051658630371094]}",,44,0.0
-5.0782,7,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 6, 3: 3, 4: 1, 5: 5, 6: 4, 7: 3, 8: 6, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [6], 3: [3], 4: [1], 5: [5], 6: [4], 7: [3], 8: [6], 9: [5]}",10.05,10.05,"{0: [10.049711227416992], 1: [10.050080299377441], 2: [10.050204277038574], 3: [10.050409317016602], 4: [10.049956321716309], 5: [10.050328254699707], 6: [10.05024528503418], 7: [10.050080299377441], 8: [10.050328254699707], 9: [10.050328254699707]}",,44,0.0
-4.9902,8,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 6, 2: 3, 3: 8, 4: 5, 5: 7, 6: 5, 7: 6, 8: 5, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [6], 2: [3], 3: [8], 4: [5], 5: [7], 6: [5], 7: [6], 8: [5], 9: [7]}",10.049,10.049,"{0: [10.04837417602539], 1: [10.048940658569336], 2: [10.048898696899414], 3: [10.048940658569336], 4: [10.048980712890625], 5: [10.048980712890625], 6: [10.048980712890625], 7: [10.048696517944336], 8: [10.048818588256836], 9: [10.048980712890625]}",,56,0.0
-4.883,9,2.619,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 6, 2: 7, 3: 4, 4: 6, 5: 3, 6: 3, 7: 6, 8: 4, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [6], 2: [7], 3: [4], 4: [6], 5: [3], 6: [3], 7: [6], 8: [4], 9: [5]}",10.047,10.047,"{0: [10.04666519165039], 1: [10.047338485717773], 2: [10.047099113464355], 3: [10.047138214111328], 4: [10.047138214111328], 5: [10.047534942626953], 6: [10.047377586364746], 7: [10.047338485717773], 8: [10.047414779663086], 9: [10.047338485717773]}",,47,0.0
