cell_id,frame_id,num_groups,peaks,counts,n_points
227,1,1,10.030957,1,1
227,4,1,10.030957,1,1
227,5,1,10.030957,1,1
227,7,1,10.030957,1,1
227,8,1,10.030957,1,1
228,0,1,10.030625,6,6
228,1,1,10.030625,4,4
228,2,1,10.030653,7,7
228,3,1,10.030625,5,5
228,4,1,10.030570,3,3
228,5,1,10.030349,3,3
228,6,1,10.030625,8,8
228,7,1,10.030570,3,3
228,8,1,10.030625,6,6
228,9,1,10.030460,4,4
229,0,1,10.029532,4,4
229,1,1,10.029612,5,5
229,2,1,10.029612,6,6
229,3,1,10.029639,1,1
229,4,1,10.029719,6,6
229,5,1,10.029371,4,4
229,6,1,10.029585,5,5
229,7,1,10.029532,6,6
229,8,1,10.029505,6,6
229,9,1,10.029559,8,8
230,0,1,10.028498,7,7
230,1,1,10.028498,4,4
230,2,1,10.028576,5,5
230,3,1,10.028628,5,5
230,4,1,10.028602,7,7
230,5,1,10.028498,3,3
230,6,1,10.028602,5,5
230,7,1,10.028628,4,4
230,8,1,10.028550,3,3
230,9,1,10.028680,2,2
231,0,1,10.027573,4,4
231,1,1,10.027674,5,5
231,2,1,10.027649,7,7
231,3,1,10.027623,4,4
231,4,1,10.027346,3,3
231,5,1,10.027548,5,5
231,6,1,10.027623,7,7
231,7,1,10.027749,4,4
231,8,1,10.027573,7,7
231,9,1,10.027649,8,8
232,0,1,10.026651,3,3
232,1,1,10.026651,4,4
232,2,1,10.026651,6,6
232,3,1,10.026651,5,5
232,4,1,10.026651,5,5
232,5,1,10.026675,2,2
232,6,1,10.026577,5,5
232,7,1,10.026699,5,5
232,8,1,10.026626,3,3
232,9,1,10.026699,2,2
233,0,1,10.025686,9,9
233,1,1,10.025686,6,6
233,2,1,10.025757,7,7
233,3,1,10.025757,8,8
233,4,1,10.025781,7,7
233,5,1,10.025686,8,8
233,6,1,10.025757,5,5
233,7,1,10.025781,6,6
233,8,1,10.025545,7,7
233,9,1,10.025757,5,5
234,0,1,10.024847,8,8
234,1,1,10.024870,8,8
234,2,1,10.024847,5,5
234,3,1,10.024847,8,8
234,4,1,10.024847,8,8
234,5,1,10.024779,5,5
234,6,1,10.024711,6,6
234,7,1,10.024779,4,4
234,8,1,10.024847,7,7
234,9,1,10.024916,5,5
235,0,1,10.024123,3,3
235,1,1,10.023904,6,6
235,2,1,10.024014,2,2
235,3,1,10.023948,8,8
235,4,1,10.024014,8,8
235,5,1,10.023882,5,5
235,6,1,10.024036,5,5
235,7,1,10.023684,3,3
235,8,1,10.024014,6,6
235,9,1,10.023904,6,6
236,0,1,10.023040,6,6
236,1,1,10.023040,2,2
236,2,1,10.023167,6,6
236,3,1,10.023230,2,2
236,4,1,10.023167,5,5
236,5,1,10.023103,5,5
236,6,1,10.022786,3,3
236,7,1,10.023188,8,8
236,8,1,10.023230,3,3
236,9,1,10.023040,6,6
237,0,1,10.022332,7,7
237,1,1,10.022433,3,3
237,2,1,10.022393,9,9
237,3,1,10.022413,9,9
237,4,1,10.022352,6,6
237,5,1,10.022271,6,6
237,6,1,10.022393,7,7
237,7,1,10.022393,7,7
237,8,1,10.022393,8,8
237,9,1,10.022393,4,4
238,0,1,10.021628,6,6
238,1,1,10.021609,7,7
238,2,1,10.021550,6,6
238,3,1,10.021628,5,5
238,4,1,10.021609,3,3
238,5,1,10.021589,4,4
238,6,1,10.021589,4,4
238,7,1,10.021609,9,9
238,8,1,10.021609,6,6
238,9,1,10.021648,6,6
239,0,1,10.020913,5,5
239,1,1,10.020894,10,10
239,2,1,10.020838,6,6
239,3,1,10.020726,3,3
239,4,1,10.020838,1,1
239,5,1,10.020857,6,6
239,6,1,10.020857,6,6
239,7,1,10.020894,8,8
239,8,1,10.020894,8,8
239,9,1,10.020876,6,6
240,0,1,10.020084,5,5
240,1,1,10.020227,6,6
240,2,1,10.020191,2,2
240,3,1,10.020119,5,5
240,4,1,10.020245,4,4
240,5,1,10.020137,5,5
240,6,1,10.019958,4,4
240,7,1,10.020173,7,7
240,8,1,10.020155,4,4
240,9,1,10.020191,7,7
241,0,1,10.019535,4,4
241,1,1,10.019518,4,4
241,2,1,10.019535,5,5
241,3,1,10.019535,7,7
241,4,1,10.019535,7,7
241,5,1,10.019518,6,6
241,6,1,10.019330,4,4
241,7,1,10.019518,7,7
241,8,1,10.019484,4,4
241,9,1,10.019518,5,5
242,0,1,10.018795,5,5
242,1,1,10.018941,3,3
242,2,1,10.018860,5,5
242,3,1,10.018811,5,5
242,4,1,10.018941,3,3
242,5,1,10.018892,3,3
242,6,1,10.018860,6,6
242,7,1,10.018925,3,3
242,8,1,10.018925,4,4
242,9,1,10.018860,5,5
243,0,1,10.018296,6,6
243,1,1,10.018218,5,5
243,2,1,10.018296,6,6
243,3,1,10.018218,3,3
243,4,1,10.018125,6,6
243,5,1,10.018280,8,8
243,6,1,10.018280,8,8
243,7,1,10.018265,9,9
243,8,1,10.018296,6,6
243,9,1,10.018172,6,6
244,0,1,10.017669,7,7
244,1,1,10.017669,3,3
244,2,1,10.017684,6,6
244,3,1,10.017669,5,5
244,4,1,10.017669,4,4
244,5,1,10.017669,8,8
244,6,1,10.017669,8,8
244,7,1,10.017684,6,6
244,8,1,10.017684,5,5
244,9,1,10.017669,5,5
245,0,1,10.016966,6,6
245,1,1,10.017119,5,5
245,2,1,10.017133,4,4
245,3,1,10.017147,5,5
245,4,1,10.017050,3,3
245,5,1,10.017091,6,6
245,6,1,10.017147,6,6
245,7,1,10.017189,3,3
245,8,1,10.017133,8,8
245,9,1,10.017133,5,5
246,0,1,10.016364,3,3
246,1,1,10.016600,8,8
246,2,1,10.016561,5,5
246,3,1,10.016600,7,7
246,4,1,10.016613,4,4
246,5,1,10.016548,2,2
246,6,1,10.016600,8,8
246,7,1,10.016613,7,7
246,8,1,10.016600,4,4
246,9,1,10.016495,3,3
247,0,1,10.016136,5,5
247,1,1,10.016124,4,4
247,2,1,10.016124,4,4
247,3,1,10.016148,6,6
247,4,1,10.016099,5,5
247,5,1,10.016148,6,6
247,6,1,10.016148,5,5
247,7,1,10.016124,6,6
247,8,1,10.016087,4,4
247,9,1,10.016124,6,6
248,0,1,10.015665,6,6
248,1,1,10.015699,4,4
248,2,1,10.015561,4,4
248,3,1,10.015642,4,4
248,4,1,10.015619,6,6
248,5,1,10.015653,5,5
248,6,1,10.015676,3,3
248,7,1,10.015653,7,7
248,8,1,10.015665,7,7
248,9,1,10.015619,7,7
249,0,1,10.015151,3,3
249,1,1,10.015237,5,5
249,2,1,10.015237,7,7
249,3,1,10.015237,8,8
249,4,1,10.015076,4,4
249,5,1,10.015237,6,6
