cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-1.0313,0.4286,50.01,10,10,0.0,"{0: 20, 1: 10, 2: 8, 3: 15, 4: 9, 5: 13, 6: 10, 7: 6, 8: 11, 9: 11}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [10], 2: [8], 3: [15], 4: [9], 5: [13], 6: [10], 7: [6], 8: [11], 9: [11]}",50.01,"{0: [50.0098876953125], 1: [50.01042175292969], 2: [50.01051712036133], 3: [50.01047897338867], 4: [50.01047897338867], 5: [50.01047897338867], 6: [50.010345458984375], 7: [50.010498046875], 8: [50.01047897338867], 9: [50.01051712036133]}",,113
1,-0.7514,0.4286,50.006,10,10,0.0,"{0: 19, 1: 19, 2: 22, 3: 21, 4: 21, 5: 16, 6: 20, 7: 15, 8: 24, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [19], 2: [22], 3: [21], 4: [21], 5: [16], 6: [20], 7: [15], 8: [24], 9: [17]}",50.006,"{0: [50.00499725341797], 1: [50.007041931152344], 2: [50.007118225097656], 3: [50.00693130493164], 4: [50.007041931152344], 5: [50.007118225097656], 6: [50.00706481933594], 7: [50.00706481933594], 8: [50.007041931152344], 9: [50.007041931152344]}",,194
2,-0.3643,0.4286,50.003,10,10,0.0,"{0: 21, 1: 12, 2: 20, 3: 14, 4: 23, 5: 17, 6: 18, 7: 19, 8: 18, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [12], 2: [20], 3: [14], 4: [23], 5: [17], 6: [18], 7: [19], 8: [18], 9: [24]}",50.003,"{0: [50.00226593017578], 1: [50.003257751464844], 2: [50.003326416015625], 3: [50.003265380859375], 4: [50.00319290161133], 5: [50.00312805175781], 6: [50.003257751464844], 7: [50.00319290161133], 8: [50.003326416015625], 9: [50.003326416015625]}",,186
3,-0.1021,0.4286,50.002,10,10,0.0,"{0: 3, 1: 13, 2: 14, 3: 14, 4: 9, 5: 12, 6: 10, 7: 13, 8: 15, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [13], 2: [14], 3: [14], 4: [9], 5: [12], 6: [10], 7: [13], 8: [15], 9: [10]}",50.002,"{0: [50.00140380859375], 1: [50.001583099365234], 2: [50.00162887573242], 3: [50.00162887573242], 4: [50.001548767089844], 5: [50.00162887573242], 6: [50.00156021118164], 7: [50.00162887573242], 8: [50.00160217285156], 9: [50.001583099365234]}",,113
4,-1.036,0.0635,50.008,10,10,0.0,"{0: 18, 1: 12, 2: 12, 3: 14, 4: 9, 5: 12, 6: 6, 7: 9, 8: 11, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [12], 2: [12], 3: [14], 4: [9], 5: [12], 6: [6], 7: [9], 8: [11], 9: [4]}",50.008,"{0: [50.008426666259766], 1: [50.009151458740234], 2: [50.009151458740234], 3: [50.009151458740234], 4: [50.008880615234375], 5: [50.00923156738281], 6: [50.00918960571289], 7: [50.00918960571289], 8: [50.00901794433594], 9: [50.00933837890625]}",,107
5,-0.7533,0.0635,50.004,10,10,0.0,"{0: 22, 1: 24, 2: 20, 3: 18, 4: 16, 5: 18, 6: 21, 7: 21, 8: 18, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [24], 2: [20], 3: [18], 4: [16], 5: [18], 6: [21], 7: [21], 8: [18], 9: [17]}",50.004,"{0: [50.0037727355957], 1: [50.00572204589844], 2: [50.00558853149414], 3: [50.00566101074219], 4: [50.005638122558594], 5: [50.00581359863281], 6: [50.005699157714844], 7: [50.00581359863281], 8: [50.005699157714844], 9: [50.005836486816406]}",,195
6,-0.3783,0.0635,50.001,10,10,0.0,"{0: 19, 1: 17, 2: 13, 3: 24, 4: 19, 5: 20, 6: 20, 7: 20, 8: 21, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [17], 2: [13], 3: [24], 4: [19], 5: [20], 6: [20], 7: [20], 8: [21], 9: [19]}",50.001,"{0: [50.000953674316406], 1: [50.002037048339844], 2: [50.00189971923828], 3: [50.002044677734375], 4: [50.001976013183594], 5: [50.002037048339844], 6: [50.00196838378906], 7: [50.00189971923828], 8: [50.002037048339844], 9: [50.00189971923828]}",,192
7,-0.0528,0.0635,50.641,10,10,0.0,"{0: 41, 1: 49, 2: 37, 3: 38, 4: 25, 5: 42, 6: 35, 7: 46, 8: 25, 9: 45}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [41], 1: [49], 2: [37], 3: [38], 4: [25], 5: [42], 6: [35], 7: [46], 8: [25], 9: [45]}",50.641,"{0: [51.347190856933594], 1: [50.06415557861328], 2: [50.064151763916016], 3: [50.06415557861328], 4: [50.06415557861328], 5: [50.06415557861328], 6: [50.06415557861328], 7: [50.06415557861328], 8: [50.06415557861328], 9: [50.06415557861328]}",,383
8,0.3649,0.0635,51.412,10,10,0.0,"{0: 21, 1: 22, 2: 21, 3: 16, 4: 14, 5: 23, 6: 18, 7: 20, 8: 18, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [22], 2: [21], 3: [16], 4: [14], 5: [23], 6: [18], 7: [20], 8: [18], 9: [21]}",51.412,"{0: [51.413543701171875], 1: [51.41217803955078], 2: [51.41217803955078], 3: [51.412052154541016], 4: [51.412254333496094], 5: [51.412254333496094], 6: [51.41205978393555], 7: [51.412254333496094], 8: [51.412254333496094], 9: [51.41218566894531]}",,194
9,0.7222,0.0635,51.415,10,10,0.0,"{0: 13, 1: 17, 2: 15, 3: 21, 4: 21, 5: 18, 6: 18, 7: 21, 8: 18, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [13], 1: [17], 2: [15], 3: [21], 4: [21], 5: [18], 6: [18], 7: [21], 8: [18], 9: [19]}",51.415,"{0: [51.416378021240234], 1: [51.415870666503906], 2: [51.415828704833984], 3: [51.415870666503906], 4: [51.41585159301758], 5: [51.41571807861328], 6: [51.41603088378906], 7: [51.41571807861328], 8: [51.415611267089844], 9: [51.41593933105469]}",,181
