azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-1.107,0,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 3, 3: 5, 4: 3, 5: 3, 6: 3, 7: 2, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [3], 3: [5], 4: [3], 5: [3], 6: [3], 7: [2], 8: [4], 9: [4]}",50.011,50.011,"{0: [50.0107421875], 1: [50.01087188720703], 2: [50.011009216308594], 3: [50.011009216308594], 4: [50.011051177978516], 5: [50.011051177978516], 6: [50.01087188720703], 7: [50.011009216308594], 8: [50.011009216308594], 9: [50.011009216308594]}",,36,0.0
-1.0322,1,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 4, 2: 3, 3: 6, 4: 4, 5: 5, 6: 5, 7: 3, 8: 3, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [4], 2: [3], 3: [6], 4: [4], 5: [5], 6: [5], 7: [3], 8: [3], 9: [4]}",50.01,50.01,"{0: [50.009422302246094], 1: [50.00996017456055], 2: [50.00953674316406], 3: [50.00975036621094], 4: [50.009918212890625], 5: [50.009918212890625], 6: [50.00996017456055], 7: [50.00937271118164], 8: [50.01004409790039], 9: [50.00988006591797]}",,44,0.0
-0.9424,2,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 6, 3: 7, 4: 6, 5: 7, 6: 4, 7: 3, 8: 6, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [6], 3: [7], 4: [6], 5: [7], 6: [4], 7: [3], 8: [6], 9: [4]}",50.008,50.008,"{0: [50.00801086425781], 1: [50.008426666259766], 2: [50.008544921875], 3: [50.008544921875], 4: [50.00830841064453], 5: [50.008544921875], 6: [50.00823211669922], 7: [50.008583068847656], 8: [50.008460998535156], 9: [50.00865173339844]}",,54,0.0
-0.8512,3,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 6, 2: 6, 3: 6, 4: 6, 5: 4, 6: 5, 7: 6, 8: 6, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [6], 2: [6], 3: [6], 4: [6], 5: [4], 6: [5], 7: [6], 8: [6], 9: [3]}",50.007,50.007,"{0: [50.006797790527344], 1: [50.00721740722656], 2: [50.00724792480469], 3: [50.007110595703125], 4: [50.00721740722656], 5: [50.00717544555664], 6: [50.00721740722656], 7: [50.007110595703125], 8: [50.00721740722656], 9: [50.00700378417969]}",,51,0.0
-0.7577,4,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 4, 2: 6, 3: 5, 4: 4, 5: 5, 6: 4, 7: 4, 8: 8, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [4], 2: [6], 3: [5], 4: [4], 5: [5], 6: [4], 7: [4], 8: [8], 9: [4]}",50.006,50.006,"{0: [50.00562286376953], 1: [50.00593185424805], 2: [50.00602722167969], 3: [50.00605392456055], 4: [50.006141662597656], 5: [50.00593185424805], 6: [50.005836486816406], 7: [50.006019592285156], 8: [50.00602722167969], 9: [50.006080627441406]}",,48,0.0
-0.6591,5,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 3, 2: 5, 3: 5, 4: 4, 5: 4, 6: 7, 7: 2, 8: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [3], 2: [5], 3: [5], 4: [4], 5: [4], 6: [7], 7: [2], 8: [5], 9: [6]}",50.005,50.005,"{0: [50.00457000732422], 1: [50.00498962402344], 2: [50.004974365234375], 3: [50.00495910644531], 4: [50.0048828125], 5: [50.00482940673828], 6: [50.004974365234375], 7: [50.00495910644531], 8: [50.004913330078125], 9: [50.004974365234375]}",,48,0.0
-0.5646,6,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 3, 3: 3, 4: 6, 5: 3, 6: 5, 7: 3, 8: 5, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [3], 3: [3], 4: [6], 5: [3], 6: [5], 7: [3], 8: [5], 9: [7]}",50.004,50.004,"{0: [50.00373077392578], 1: [50.004051208496094], 2: [50.00411605834961], 3: [50.00404357910156], 4: [50.004051208496094], 5: [50.004051208496094], 6: [50.004051208496094], 7: [50.003929138183594], 8: [50.00407409667969], 9: [50.004051208496094]}",,45,0.0
-0.4627,7,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 6, 2: 8, 3: 5, 4: 5, 5: 5, 6: 6, 7: 8, 8: 4, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [6], 2: [8], 3: [5], 4: [5], 5: [5], 6: [6], 7: [8], 8: [4], 9: [6]}",50.003,50.003,"{0: [50.00291061401367], 1: [50.00319290161133], 2: [50.003177642822266], 3: [50.00319290161133], 4: [50.00325012207031], 5: [50.003273010253906], 6: [50.00323486328125], 7: [50.003273010253906], 8: [50.003273010253906], 9: [50.003116607666016]}",,57,0.0
-0.3518,8,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 2, 2: 3, 3: 3, 4: 7, 5: 4, 6: 4, 7: 4, 8: 6, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [2], 2: [3], 3: [3], 4: [7], 5: [4], 6: [4], 7: [4], 8: [6], 9: [8]}",50.002,50.002,"{0: [50.002227783203125], 1: [50.00245666503906], 2: [50.002410888671875], 3: [50.002540588378906], 4: [50.002464294433594], 5: [50.00251388549805], 6: [50.002410888671875], 7: [50.002464294433594], 8: [50.00250244140625], 9: [50.00250244140625]}",,46,0.0
-0.2593,9,0.4286,9,"[0, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 2: 5, 3: 4, 4: 6, 5: 5, 6: 3, 7: 3, 8: 5, 9: 4}","{0: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 2: [5], 3: [4], 4: [6], 5: [5], 6: [3], 7: [3], 8: [5], 9: [4]}",50.002,50.002,"{0: [50.001861572265625], 2: [50.00202941894531], 3: [50.00196075439453], 4: [50.00202941894531], 5: [50.00200653076172], 6: [50.002071380615234], 7: [50.001983642578125], 8: [50.00202941894531], 9: [50.001930236816406]}",,40,0.0
