azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-1.1056,0,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 2, 3: 3, 4: 6, 5: 4, 6: 1, 7: 1, 8: 2, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [2], 3: [3], 4: [6], 5: [4], 6: [1], 7: [1], 8: [2], 9: [3]}",50.011,50.011,"{0: [50.0107421875], 1: [50.011009216308594], 2: [50.010738372802734], 3: [50.01091766357422], 4: [50.011009216308594], 5: [50.010738372802734], 6: [50.011051177978516], 7: [50.01051712036133], 8: [50.011138916015625], 9: [50.01091766357422]}",,33,0.0
-1.0324,1,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 2, 2: 5, 3: 5, 4: 4, 5: 4, 6: 5, 7: 4, 8: 7, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [2], 2: [5], 3: [5], 4: [4], 5: [4], 6: [5], 7: [4], 8: [7], 9: [4]}",50.01,50.01,"{0: [50.009422302246094], 1: [50.00945281982422], 2: [50.009918212890625], 3: [50.009788513183594], 4: [50.009620666503906], 5: [50.00988006591797], 6: [50.009918212890625], 7: [50.00988006591797], 8: [50.00988006591797], 9: [50.00988006591797]}",,45,0.0
-0.9503,2,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 5, 2: 4, 3: 7, 4: 6, 5: 6, 6: 3, 7: 5, 8: 5, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [5], 2: [4], 3: [7], 4: [6], 5: [6], 6: [3], 7: [5], 8: [5], 9: [4]}",50.008,50.008,"{0: [50.00801086425781], 1: [50.00861358642578], 2: [50.008689880371094], 3: [50.008583068847656], 4: [50.008583068847656], 5: [50.00861358642578], 6: [50.008384704589844], 7: [50.00834655761719], 8: [50.00861358642578], 9: [50.008460998535156]}",,49,0.0
-0.8547,3,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 6, 2: 4, 3: 7, 4: 4, 5: 5, 6: 5, 7: 4, 8: 6, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [6], 2: [4], 3: [7], 4: [4], 5: [5], 6: [5], 7: [4], 8: [6], 9: [3]}",50.007,50.007,"{0: [50.0068359375], 1: [50.00731658935547], 2: [50.0074577331543], 3: [50.00732421875], 4: [50.00682830810547], 5: [50.00732421875], 6: [50.00732421875], 7: [50.00724792480469], 8: [50.007354736328125], 9: [50.00682830810547]}",,50,0.0
-0.7412,4,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 7, 2: 5, 3: 3, 4: 7, 5: 8, 6: 10, 7: 8, 8: 5, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [7], 2: [5], 3: [3], 4: [7], 5: [8], 6: [10], 7: [8], 8: [5], 9: [8]}",50.006,50.006,"{0: [50.00538635253906], 1: [50.00605392456055], 2: [50.00599670410156], 3: [50.00575256347656], 4: [50.005943298339844], 5: [50.00584411621094], 6: [50.00584411621094], 7: [50.00596618652344], 8: [50.005943298339844], 9: [50.00584411621094]}",,64,0.0
-0.6251,5,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 8, 1: 5, 2: 3, 3: 5, 4: 7, 5: 4, 6: 6, 7: 5, 8: 5, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [8], 1: [5], 2: [3], 3: [5], 4: [7], 5: [4], 6: [6], 7: [5], 8: [5], 9: [3]}",50.004,50.004,"{0: [50.00426483154297], 1: [50.0046501159668], 2: [50.0046501159668], 3: [50.0046501159668], 4: [50.0046501159668], 5: [50.00457000732422], 6: [50.0046501159668], 7: [50.00448989868164], 8: [50.0046501159668], 9: [50.00440979003906]}",,51,0.0
-0.5359,6,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 4, 2: 4, 3: 7, 4: 5, 5: 4, 6: 5, 7: 1, 8: 6, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [4], 3: [7], 4: [5], 5: [4], 6: [5], 7: [1], 8: [6], 9: [6]}",50.004,50.004,"{0: [50.003448486328125], 1: [50.003639221191406], 2: [50.003814697265625], 3: [50.00377655029297], 4: [50.00373077392578], 5: [50.00379943847656], 6: [50.00379943847656], 7: [50.00350570678711], 8: [50.00377655029297], 9: [50.00373077392578]}",,47,0.0
-0.4319,7,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 7, 3: 7, 4: 6, 5: 4, 6: 4, 7: 5, 8: 7, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [7], 3: [7], 4: [6], 5: [4], 6: [4], 7: [5], 8: [7], 9: [5]}",50.003,50.003,"{0: [50.00270462036133], 1: [50.00291061401367], 2: [50.002967834472656], 3: [50.00304412841797], 4: [50.00305938720703], 5: [50.003028869628906], 6: [50.002967834472656], 7: [50.002925872802734], 8: [50.003028869628906], 9: [50.00305938720703]}",,55,0.0
-0.332,8,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 6, 2: 1, 3: 6, 4: 6, 5: 6, 6: 4, 7: 5, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [6], 2: [1], 3: [6], 4: [6], 5: [6], 6: [4], 7: [5], 8: [4], 9: [4]}",50.002,50.002,"{0: [50.00213623046875], 1: [50.00238037109375], 2: [50.002262115478516], 3: [50.00233459472656], 4: [50.002410888671875], 5: [50.002410888671875], 6: [50.00238037109375], 7: [50.00233459472656], 8: [50.002349853515625], 9: [50.00238037109375]}",,47,0.0
-0.2342,9,0.4286,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 4, 2: 4, 3: 4, 4: 3, 5: 5, 6: 5, 7: 8, 8: 4, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [4], 2: [4], 3: [4], 4: [3], 5: [5], 6: [5], 7: [8], 8: [4], 9: [5]}",50.002,50.002,"{0: [50.00178909301758], 1: [50.00190353393555], 2: [50.00184631347656], 3: [50.00193786621094], 4: [50.00178146362305], 5: [50.00188446044922], 6: [50.001869201660156], 7: [50.00194549560547], 8: [50.00194549560547], 9: [50.00193786621094]}",,49,0.0
