cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-1.0185,0.4286,50.009,10,10,0.0,"{0: 21, 1: 11, 2: 11, 3: 13, 4: 15, 5: 13, 6: 8, 7: 8, 8: 13, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [11], 2: [11], 3: [13], 4: [15], 5: [13], 6: [8], 7: [8], 8: [13], 9: [10]}",50.009,"{0: [50.00982666015625], 1: [50.01047897338867], 2: [50.01021194458008], 3: [50.010345458984375], 4: [50.010440826416016], 5: [50.01017379760742], 6: [50.01038360595703], 7: [50.00990676879883], 8: [50.010440826416016], 9: [50.01030731201172]}",,123
1,-0.7193,0.4286,50.005,10,10,0.0,"{0: 20, 1: 20, 2: 14, 3: 20, 4: 21, 5: 20, 6: 24, 7: 19, 8: 19, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [20], 2: [14], 3: [20], 4: [21], 5: [20], 6: [24], 7: [19], 8: [19], 9: [17]}",50.005,"{0: [50.00480270385742], 1: [50.00688552856445], 2: [50.00666809082031], 3: [50.00688552856445], 4: [50.006778717041016], 5: [50.00688552856445], 6: [50.00690841674805], 7: [50.0069580078125], 8: [50.00690841674805], 9: [50.006778717041016]}",,194
2,-0.3489,0.4286,50.002,10,10,0.0,"{0: 19, 1: 19, 2: 15, 3: 21, 4: 19, 5: 18, 6: 16, 7: 20, 8: 19, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [19], 2: [15], 3: [21], 4: [19], 5: [18], 6: [16], 7: [20], 8: [19], 9: [19]}",50.002,"{0: [50.00213623046875], 1: [50.00311279296875], 2: [50.003173828125], 3: [50.0031852722168], 4: [50.003173828125], 5: [50.003173828125], 6: [50.0031852722168], 7: [50.00304412841797], 8: [50.00312805175781], 9: [50.003173828125]}",,185
3,-0.0911,0.4286,50.001,10,10,0.0,"{0: 1, 1: 10, 2: 12, 3: 14, 4: 6, 5: 7, 6: 10, 7: 7, 8: 10, 9: 11}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [1], 1: [10], 2: [12], 3: [14], 4: [6], 5: [7], 6: [10], 7: [7], 8: [10], 9: [11]}",50.001,"{0: [50.001399993896484], 1: [50.00156021118164], 2: [50.001583099365234], 3: [50.001583099365234], 4: [50.001583099365234], 5: [50.0014762878418], 6: [50.00150680541992], 7: [50.0015869140625], 8: [50.001583099365234], 9: [50.00156021118164]}",,88
4,-1.0343,0.0635,50.008,10,10,0.0,"{0: 16, 1: 9, 2: 14, 3: 11, 4: 13, 5: 14, 6: 14, 7: 10, 8: 9, 9: 11}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [9], 2: [14], 3: [11], 4: [13], 5: [14], 6: [14], 7: [10], 8: [9], 9: [11]}",50.008,"{0: [50.00859069824219], 1: [50.00891876220703], 2: [50.008880615234375], 3: [50.009151458740234], 4: [50.009151458740234], 5: [50.009151458740234], 6: [50.00918960571289], 7: [50.00901794433594], 8: [50.009151458740234], 9: [50.009151458740234]}",,121
5,-0.7465,0.0635,50.004,10,10,0.0,"{0: 21, 1: 20, 2: 18, 3: 16, 4: 16, 5: 19, 6: 19, 7: 18, 8: 15, 9: 16}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [20], 2: [18], 3: [16], 4: [16], 5: [19], 6: [19], 7: [18], 8: [15], 9: [16]}",50.004,"{0: [50.003868103027344], 1: [50.00588607788086], 2: [50.005859375], 3: [50.00555419921875], 4: [50.00588607788086], 5: [50.005836486816406], 6: [50.005836486816406], 7: [50.005775451660156], 8: [50.005836486816406], 9: [50.005393981933594]}",,178
6,-0.3972,0.0635,50.001,10,10,0.0,"{0: 22, 1: 23, 2: 13, 3: 18, 4: 20, 5: 18, 6: 10, 7: 16, 8: 21, 9: 12}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [23], 2: [13], 3: [18], 4: [20], 5: [18], 6: [10], 7: [16], 8: [21], 9: [12]}",50.001,"{0: [50.00105667114258], 1: [50.00214385986328], 2: [50.002044677734375], 3: [50.002166748046875], 4: [50.00214385986328], 5: [50.00208282470703], 6: [50.0020637512207], 7: [50.001747131347656], 8: [50.00213623046875], 9: [50.0020637512207]}",,173
7,-0.0776,0.0635,50.784,10,10,0.0,"{0: 44, 1: 39, 2: 35, 3: 46, 4: 39, 5: 41, 6: 38, 7: 49, 8: 40, 9: 35}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [44], 1: [39], 2: [35], 3: [46], 4: [39], 5: [41], 6: [38], 7: [49], 8: [40], 9: [35]}",50.784,"{0: [51.84347915649414], 1: [50.06828689575195], 2: [50.06828689575195], 3: [50.068294525146484], 4: [50.06828689575195], 5: [50.06828689575195], 6: [50.06828689575195], 7: [50.06828689575195], 8: [50.06829071044922], 9: [50.06828689575195]}",,406
8,0.3277,0.0635,51.912,10,10,0.0,"{0: 20, 1: 23, 2: 23, 3: 20, 4: 16, 5: 17, 6: 17, 7: 19, 8: 12, 9: 17}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [23], 2: [23], 3: [20], 4: [16], 5: [17], 6: [17], 7: [19], 8: [12], 9: [17]}",51.912,"{0: [51.91382598876953], 1: [51.91248321533203], 2: [51.91253662109375], 3: [51.91236877441406], 4: [51.91254425048828], 5: [51.91254425048828], 6: [51.912418365478516], 7: [51.9124755859375], 8: [51.9124755859375], 9: [51.91253662109375]}",,184
9,0.7056,0.0635,51.915,10,10,0.0,"{0: 12, 1: 19, 2: 24, 3: 20, 4: 21, 5: 18, 6: 20, 7: 22, 8: 22, 9: 25}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [12], 1: [19], 2: [24], 3: [20], 4: [21], 5: [18], 6: [20], 7: [22], 8: [22], 9: [25]}",51.915,"{0: [51.916648864746094], 1: [51.915931701660156], 2: [51.916343688964844], 3: [51.916343688964844], 4: [51.916229248046875], 5: [51.916229248046875], 6: [51.91640853881836], 7: [51.916343688964844], 8: [51.91625213623047], 9: [51.916343688964844]}",,203
10,-1.0296,-0.3016,50.009,10,10,0.0,"{0: 21, 1: 8, 2: 7, 3: 12, 4: 12, 5: 14, 6: 12, 7: 10, 8: 12, 9: 12}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [8], 2: [7], 3: [12], 4: [12], 5: [14], 6: [12], 7: [10], 8: [12], 9: [12]}",50.009,"{0: [50.009254455566406], 1: [50.00940704345703], 2: [50.00958251953125], 3: [50.00971603393555], 4: [50.00981140136719], 5: [50.00981140136719], 6: [50.00981140136719], 7: [50.009849548339844], 8: [50.00981140136719], 9: [50.00981140136719]}",,120
11,-0.7503,-0.3016,50.005,10,10,0.0,"{0: 19, 1: 22, 2: 19, 3: 17, 4: 23, 5: 19, 6: 22, 7: 22, 8: 17, 9: 25}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [22], 2: [19], 3: [17], 4: [23], 5: [19], 6: [22], 7: [22], 8: [17], 9: [25]}",50.005,"{0: [50.00450897216797], 1: [50.00647735595703], 2: [50.006141662597656], 3: [50.00647735595703], 4: [50.006500244140625], 5: [50.006500244140625], 6: [50.00652313232422], 7: [50.00647735595703], 8: [50.006141662597656], 9: [50.00647735595703]}",,205
12,-0.3939,-0.3016,50.002,10,10,0.0,"{0: 15, 1: 16, 2: 19, 3: 13, 4: 20, 5: 17, 6: 12, 7: 24, 8: 22, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [16], 2: [19], 3: [13], 4: [20], 5: [17], 6: [12], 7: [24], 8: [22], 9: [18]}",50.002,"{0: [50.00161361694336], 1: [50.00258255004883], 2: [50.00273895263672], 3: [50.002708435058594], 4: [50.002628326416016], 5: [50.0025634765625], 6: [50.002628326416016], 7: [50.0026969909668], 8: [50.002716064453125], 9: [50.00265884399414]}",,176
13,-0.0522,-0.3016,50.893,10,10,0.0,"{0: 32, 1: 36, 2: 38, 3: 56, 4: 35, 5: 51, 6: 32, 7: 37, 8: 35, 9: 45}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [32], 1: [36], 2: [38], 3: [56], 4: [35], 5: [51], 6: [32], 7: [37], 8: [35], 9: [45]}",50.893,"{0: [51.53037643432617], 1: [51.53037643432617], 2: [51.53031539916992], 3: [51.53037643432617], 4: [51.53038024902344], 5: [51.53034973144531], 6: [51.53031539916992], 7: [51.53034973144531], 8: [51.53037643432617], 9: [51.53033447265625]}",,397
14,0.3578,-0.3016,51.584,10,10,0.0,"{0: 22, 1: 21, 2: 17, 3: 19, 4: 17, 5: 21, 6: 21, 7: 24, 8: 17, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [21], 2: [17], 3: [19], 4: [17], 5: [21], 6: [21], 7: [24], 8: [17], 9: [22]}",51.584,"{0: [51.58564758300781], 1: [51.5843620300293], 2: [51.584068298339844], 3: [51.58430480957031], 4: [51.58418273925781], 5: [51.58436584472656], 6: [51.58436584472656], 7: [51.58430480957031], 8: [51.58433532714844], 9: [51.5843620300293]}",,201
15,0.7235,-0.3016,51.587,10,10,0.0,"{0: 11, 1: 26, 2: 19, 3: 20, 4: 17, 5: 13, 6: 19, 7: 20, 8: 24, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [11], 1: [26], 2: [19], 3: [20], 4: [17], 5: [13], 6: [19], 7: [20], 8: [24], 9: [18]}",51.587,"{0: [51.588409423828125], 1: [51.58808898925781], 2: [51.588111877441406], 3: [51.588134765625], 4: [51.58802032470703], 5: [51.58759689331055], 6: [51.58799743652344], 7: [51.58808898925781], 8: [51.58808898925781], 9: [51.58797836303711]}",,187
