cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-0.4399,0.0635,100.003,10,10,0.0,"{0: 23, 1: 9, 2: 9, 3: 14, 4: 12, 5: 12, 6: 10, 7: 15, 8: 13, 9: 12}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [23], 1: [9], 2: [9], 3: [14], 4: [12], 5: [12], 6: [10], 7: [15], 8: [13], 9: [12]}",100.003,"{0: [100.00350952148438], 1: [100.00386810302734], 2: [100.00436401367188], 3: [100.00424194335938], 4: [100.00346374511719], 5: [100.00410461425781], 6: [100.00413513183594], 7: [100.0042724609375], 8: [100.00424194335938], 9: [100.00396728515625]}",,129
1,-0.1263,0.0635,100.095,10,10,0.0,"{0: 41, 1: 44, 2: 37, 3: 42, 4: 38, 5: 35, 6: 31, 7: 33, 8: 38, 9: 47}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [41], 1: [44], 2: [37], 3: [42], 4: [38], 5: [35], 6: [31], 7: [33], 8: [38], 9: [47]}",100.095,"{0: [100.15467834472656], 1: [100.14651489257812], 2: [100.14656066894531], 3: [100.04296875], 4: [100.154541015625], 5: [100.14654541015625], 6: [100.15455627441406], 7: [100.01338195800781], 8: [100.14657592773438], 9: [100.154541015625]}",,386
2,0.2007,0.0635,100.516,10,10,0.0,"{0: 9, 1: 19, 2: 20, 3: 23, 4: 17, 5: 18, 6: 19, 7: 23, 8: 21, 9: 24}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [9], 1: [19], 2: [20], 3: [23], 4: [17], 5: [18], 6: [19], 7: [23], 8: [21], 9: [24]}",100.516,"{0: [100.51675415039062], 1: [100.51639556884766], 2: [100.51657104492188], 3: [100.51657104492188], 4: [100.51657104492188], 5: [100.51638793945312], 6: [100.51638793945312], 7: [100.5164794921875], 8: [100.51657104492188], 9: [100.51657104492188]}",,193
