azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-0.5301,0,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 2, 2: 3, 3: 4, 4: 1, 5: 3, 6: 3, 7: 6, 8: 4, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [2], 2: [3], 3: [4], 4: [1], 5: [3], 6: [3], 7: [6], 8: [4], 9: [4]}",100.004,100.004,"{0: [100.00416564941406], 1: [100.00431823730469], 2: [100.0047607421875], 3: [100.00473022460938], 4: [100.00395202636719], 5: [100.00459289550781], 6: [100.00471496582031], 7: [100.00473022460938], 8: [100.0047607421875], 9: [100.0044937133789]}",,34,0.0
-0.45,1,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 4, 2: 5, 3: 5, 4: 7, 5: 7, 6: 4, 7: 7, 8: 6, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [4], 2: [5], 3: [5], 4: [7], 5: [7], 6: [4], 7: [7], 8: [6], 9: [6]}",100.003,100.003,"{0: [100.00297546386719], 1: [100.00360107421875], 2: [100.0035400390625], 3: [100.00349426269531], 4: [100.0035400390625], 5: [100.00349426269531], 6: [100.00349426269531], 7: [100.00349426269531], 8: [100.00341796875], 9: [100.00349426269531]}",,57,0.0
-0.35,2,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 5, 2: 3, 3: 8, 4: 6, 5: 3, 6: 3, 7: 5, 8: 5, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [5], 2: [3], 3: [8], 4: [6], 5: [3], 6: [3], 7: [5], 8: [5], 9: [7]}",100.002,100.002,"{0: [100.0018310546875], 1: [100.00224304199219], 2: [100.0022964477539], 3: [100.00227355957031], 4: [100.00215148925781], 5: [100.00225830078125], 6: [100.00241088867188], 7: [100.0020523071289], 8: [100.0020523071289], 9: [100.00215148925781]}",,52,0.0
-0.2456,3,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 7, 1: 6, 2: 2, 3: 7, 4: 4, 5: 1, 6: 6, 7: 5, 8: 2, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [7], 1: [6], 2: [2], 3: [7], 4: [4], 5: [1], 6: [6], 7: [5], 8: [2], 9: [4]}",100.001,100.001,"{0: [100.00091552734375], 1: [100.00122833251953], 2: [100.00127410888672], 3: [100.00122833251953], 4: [100.00102233886719], 5: [100.0011978149414], 6: [100.00122833251953], 7: [100.00122833251953], 8: [100.0009994506836], 9: [100.00115966796875]}",,44,0.0
-0.1493,4,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 15, 1: 21, 2: 21, 3: 18, 4: 24, 5: 15, 6: 12, 7: 18, 8: 21, 9: 18}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [15], 1: [21], 2: [21], 3: [18], 4: [24], 5: [15], 6: [12], 7: [18], 8: [21], 9: [18]}",100.098,100.098,"{0: [100.14662170410156], 1: [100.1466064453125], 2: [100.14663696289062], 3: [100.14669799804688], 4: [100.14665985107422], 5: [100.14663696289062], 6: [100.14663696289062], 7: [100.14663696289062], 8: [100.14665985107422], 9: [100.14669799804688]}",,183,0.0
-0.0537,5,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 17, 1: 12, 2: 12, 3: 9, 4: 6, 5: 15, 6: 12, 7: 6, 8: 12, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [12], 2: [12], 3: [9], 4: [6], 5: [15], 6: [12], 7: [6], 8: [12], 9: [15]}",100.098,100.098,"{0: [100.14633178710938], 1: [100.1463394165039], 2: [100.14634704589844], 3: [100.14631652832031], 4: [100.14628601074219], 5: [100.14634704589844], 6: [100.14632415771484], 7: [100.14630126953125], 8: [100.14632415771484], 9: [100.1463394165039]}",,116,0.0
0.034,6,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 3, 3: 10, 4: 6, 5: 7, 6: 6, 7: 5, 8: 7, 9: 7}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [3], 3: [10], 4: [6], 5: [7], 6: [6], 7: [5], 8: [7], 9: [7]}",100.391,100.391,"{0: [100.51513671875], 1: [100.15457153320312], 2: [100.51508331298828], 3: [100.4636001586914], 4: [100.50152587890625], 5: [100.46357727050781], 6: [100.51508331298828], 7: [100.50152587890625], 8: [100.50155639648438], 9: [100.05155944824219]}",,61,0.0
0.1383,7,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 7, 2: 6, 3: 7, 4: 1, 5: 7, 6: 6, 7: 7, 8: 4, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [7], 2: [6], 3: [7], 4: [1], 5: [7], 6: [6], 7: [7], 8: [4], 9: [6]}",100.515,100.515,"{0: [100.5154037475586], 1: [100.51536560058594], 2: [100.51536560058594], 3: [100.51541137695312], 4: [100.51538848876953], 5: [100.51541137695312], 6: [100.51541137695312], 7: [100.51541137695312], 8: [100.51543426513672], 9: [100.51541137695312]}",,54,0.0
0.2346,8,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 6, 1: 5, 2: 6, 3: 5, 4: 5, 5: 3, 6: 5, 7: 8, 8: 5, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [5], 2: [6], 3: [5], 4: [5], 5: [3], 6: [5], 7: [8], 8: [5], 9: [8]}",100.516,100.516,"{0: [100.51618957519531], 1: [100.51605224609375], 2: [100.51593780517578], 3: [100.51602172851562], 4: [100.51605224609375], 5: [100.5158920288086], 6: [100.51581573486328], 7: [100.51600646972656], 8: [100.51600646972656], 9: [100.51600646972656]}",,56,0.0
0.329,9,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 5, 2: 5, 3: 6, 4: 7, 5: 4, 6: 3, 7: 4, 8: 6, 9: 8}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [5], 2: [5], 3: [6], 4: [7], 5: [4], 6: [3], 7: [4], 8: [6], 9: [8]}",100.517,100.517,"{0: [100.51699829101562], 1: [100.5167236328125], 2: [100.51689147949219], 3: [100.5169448852539], 4: [100.51689147949219], 5: [100.5167236328125], 6: [100.5167007446289], 7: [100.51680755615234], 8: [100.51687622070312], 9: [100.51687622070312]}",,51,0.0
